Trade #,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit short,2026-03-25 09:54,exit,23287.35,1,23271.4,-15.95,-0.07,8.65,0.04,-15.95,-0.07,-15.95,0.00
1,Entry short,2026-03-25 09:50,entry,23271.4,1,23271.4,-15.95,-0.07,8.65,0.04,-15.95,-0.07,-15.95,0.00
2,Exit short,2026-03-25 10:53,exit,23373.25,1,23359.1,-14.15,-0.06,4.75,0.02,-14.15,-0.06,-30.1,0.00
2,Entry short,2026-03-25 10:48,entry,23359.1,1,23359.1,-14.15,-0.06,4.75,0.02,-14.15,-0.06,-30.1,0.00
3,Exit short,2026-03-25 11:38,exit,23365.15,1,23412.2,47.05,0.20,47.05,0.20,-2.75,-0.01,16.95,0.00
3,Entry short,2026-03-25 11:21,entry,23412.2,1,23412.2,47.05,0.20,47.05,0.20,-2.75,-0.01,16.95,0.00
4,Exit short,2026-03-25 12:08,exit,23416.35,1,23406.05,-10.3,-0.04,15.65,0.07,-10.3,-0.04,6.65,0.00
4,Entry short,2026-03-25 11:56,entry,23406.05,1,23406.05,-10.3,-0.04,15.65,0.07,-10.3,-0.04,6.65,0.00
5,Exit short,2026-03-25 12:12,exit,23422.45,1,23409.5,-12.95,-0.06,0,0.00,-12.95,-0.06,-6.3,0.00
5,Entry short,2026-03-25 12:11,entry,23409.5,1,23409.5,-12.95,-0.06,0,0.00,-12.95,-0.06,-6.3,0.00
6,Exit short,2026-03-25 12:32,exit,23449.75,1,23424.8,-24.95,-0.11,8.25,0.04,-24.95,-0.11,-31.25,0.00
6,Entry short,2026-03-25 12:26,entry,23424.8,1,23424.8,-24.95,-0.11,8.25,0.04,-24.95,-0.11,-31.25,0.00
7,Exit short,2026-03-25 12:52,exit,23405.95,1,23446.15,40.2,0.17,40.2,0.17,-6.1,-0.03,8.95,0.00
7,Entry short,2026-03-25 12:38,entry,23446.15,1,23446.15,40.2,0.17,40.2,0.17,-6.1,-0.03,8.95,0.00
8,Exit short,2026-03-25 13:34,exit,23419.7,1,23393.5,-26.2,-0.11,5.4,0.02,-26.2,-0.11,-17.25,0.00
8,Entry short,2026-03-25 13:32,entry,23393.5,1,23393.5,-26.2,-0.11,5.4,0.02,-26.2,-0.11,-17.25,0.00
9,Exit short,2026-03-25 14:22,exit,23355.55,1,23426.15,70.6,0.30,70.6,0.30,-34.15,-0.15,53.35,0.01
9,Entry short,2026-03-25 13:54,entry,23426.15,1,23426.15,70.6,0.30,70.6,0.30,-34.15,-0.15,53.35,0.01
10,Exit short,2026-03-25 14:48,exit,23335.95,1,23357.1,21.15,0.09,21.15,0.09,-10.55,-0.05,74.5,0.01
10,Entry short,2026-03-25 14:45,entry,23357.1,1,23357.1,21.15,0.09,21.15,0.09,-10.55,-0.05,74.5,0.01
11,Exit short,2026-03-27 10:54,exit,22955.55,1,23011.3,55.75,0.24,55.75,0.24,-9.1,-0.04,130.25,0.01
11,Entry short,2026-03-27 10:34,entry,23011.3,1,23011.3,55.75,0.24,55.75,0.24,-9.1,-0.04,130.25,0.01
12,Exit short,2026-03-27 12:19,exit,22907.2,1,22944.6,37.4,0.16,37.4,0.16,-9.65,-0.04,167.65,0.02
12,Entry short,2026-03-27 11:57,entry,22944.6,1,22944.6,37.4,0.16,37.4,0.16,-9.65,-0.04,167.65,0.02
13,Exit short,2026-03-27 12:35,exit,22964.25,1,22949.15,-15.1,-0.07,18.5,0.08,-15.1,-0.07,152.55,0.02
13,Entry short,2026-03-27 12:31,entry,22949.15,1,22949.15,-15.1,-0.07,18.5,0.08,-15.1,-0.07,152.55,0.02
14,Exit short,2026-03-27 13:17,exit,22973.2,1,22947.9,-25.3,-0.11,27.9,0.12,-25.3,-0.11,127.25,0.01
14,Entry short,2026-03-27 12:53,entry,22947.9,1,22947.9,-25.3,-0.11,27.9,0.12,-25.3,-0.11,127.25,0.01
15,Exit short,2026-03-27 14:07,exit,22898.6,1,22961.3,62.7,0.27,62.7,0.27,-15.95,-0.07,189.95,0.02
15,Entry short,2026-03-27 13:21,entry,22961.3,1,22961.3,62.7,0.27,62.7,0.27,-15.95,-0.07,189.95,0.02
16,Exit short,2026-03-30 09:50,exit,22618.7,1,22681.35,62.65,0.28,62.65,0.28,-22.35,-0.10,252.6,0.03
16,Entry short,2026-03-30 09:39,entry,22681.35,1,22681.35,62.65,0.28,62.65,0.28,-22.35,-0.10,252.6,0.03
17,Exit short,2026-03-30 11:45,exit,22477.15,1,22515.05,37.9,0.17,37.9,0.17,-4.1,-0.02,290.5,0.03
17,Entry short,2026-03-30 11:40,entry,22515.05,1,22515.05,37.9,0.17,37.9,0.17,-4.1,-0.02,290.5,0.03
18,Exit short,2026-03-30 12:53,exit,22493.1,1,22559.05,65.95,0.29,65.95,0.29,-35.05,-0.16,356.45,0.04
18,Entry short,2026-03-30 12:08,entry,22559.05,1,22559.05,65.95,0.29,65.95,0.29,-35.05,-0.16,356.45,0.04
19,Exit short,2026-03-30 13:53,exit,22430.1,1,22488.9,58.8,0.26,58.8,0.26,-13.2,-0.06,415.25,0.04
19,Entry short,2026-03-30 13:19,entry,22488.9,1,22488.9,58.8,0.26,58.8,0.26,-13.2,-0.06,415.25,0.04
20,Exit short,2026-04-01 10:04,exit,22937.65,1,22850.95,-86.7,-0.38,26.8,0.12,-86.7,-0.38,328.55,0.03
20,Entry short,2026-04-01 09:33,entry,22850.95,1,22850.95,-86.7,-0.38,26.8,0.12,-86.7,-0.38,328.55,0.03
21,Exit short,2026-04-01 11:31,exit,22800.65,1,22788.85,-11.8,-0.05,2.4,0.01,-11.8,-0.05,316.75,0.03
21,Entry short,2026-04-01 11:30,entry,22788.85,1,22788.85,-11.8,-0.05,2.4,0.01,-11.8,-0.05,316.75,0.03
