Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit long,3/11/2025 9:54,SL Hit,22378.3,4,89541.6,-28.4,-0.03,106.8,0.12,-28.4,-0.03,-28.4,0.00
1,Entry long,3/11/2025 9:49,Long,22385.4,4,89541.6,-28.4,-0.03,106.8,0.12,-28.4,-0.03,-28.4,0.00
2,Exit long,3/11/2025 10:30,SL Hit,22415.95,4,89667.2,-3.4,0.00,84.6,0.09,-40.6,-0.05,-31.8,0.00
2,Entry long,3/11/2025 10:14,Long,22416.8,4,89667.2,-3.4,0.00,84.6,0.09,-40.6,-0.05,-31.8,0.00
3,Exit long,3/11/2025 10:45,SL Hit,22421.65,4,89728.8,-42.2,-0.05,68.6,0.08,-42.2,-0.05,-74,-0.01
3,Entry long,3/11/2025 10:43,Long,22432.2,4,89728.8,-42.2,-0.05,68.6,0.08,-42.2,-0.05,-74,-0.01
4,Exit long,3/11/2025 11:17,SL Hit,22438.15,4,89799.6,-47,-0.05,143.8,0.16,-47,-0.05,-121,-0.01
4,Entry long,3/11/2025 10:57,Long,22449.9,4,89799.6,-47,-0.05,143.8,0.16,-47,-0.05,-121,-0.01
5,Exit long,3/11/2025 14:30,SL Hit,22491.5,4,89782,184,0.20,282,0.31,-41.2,-0.05,63,0.01
5,Entry long,3/11/2025 12:26,Long,22445.5,4,89782,184,0.20,282,0.31,-41.2,-0.05,63,0.01
6,Exit long,3/12/2025 9:15,TP Hit,22551,4,90051,153,0.17,153,0.17,0,0.00,216,0.02
6,Entry long,3/12/2025 9:15,Long,22512.75,4,90051,153,0.17,153,0.17,0,0.00,216,0.02
7,Exit short,3/12/2025 9:36,SL Hit,22486.85,4,89919.4,-28,-0.03,119,0.13,-28,-0.03,188,0.02
7,Entry short,3/12/2025 9:29,Short,22479.85,4,89919.4,-28,-0.03,119,0.13,-28,-0.03,188,0.02
8,Exit short,3/12/2025 10:36,SL Hit,22458.2,4,89785.2,-47.6,-0.05,144.6,0.16,-47.6,-0.05,140.4,0.01
8,Entry short,3/12/2025 10:05,Short,22446.3,4,89785.2,-47.6,-0.05,144.6,0.16,-47.6,-0.05,140.4,0.01
9,Exit short,3/12/2025 11:08,SL Hit,22417.35,4,89735.6,66.2,0.07,155.8,0.17,0,0.00,206.6,0.02
9,Entry short,3/12/2025 10:48,Short,22433.9,4,89735.6,66.2,0.07,155.8,0.17,0,0.00,206.6,0.02
10,Exit short,3/12/2025 11:37,TP Hit,22357.4,4,89591.8,162.2,0.18,162.2,0.18,0,0.00,368.8,0.04
10,Entry short,3/12/2025 11:28,Short,22397.95,4,89591.8,162.2,0.18,162.2,0.18,0,0.00,368.8,0.04
11,Exit short,3/12/2025 12:06,SL Hit,22357.25,4,89365.2,-63.8,-0.07,47,0.05,-63.8,-0.07,305,0.03
11,Entry short,3/12/2025 12:02,Short,22341.3,4,89365.2,-63.8,-0.07,47,0.05,-63.8,-0.07,305,0.03
12,Exit short,3/12/2025 12:53,SL Hit,22362,4,89386.8,-61.2,-0.07,45.6,0.05,-61.2,-0.07,243.8,0.02
12,Entry short,3/12/2025 12:47,Short,22346.7,4,89386.8,-61.2,-0.07,45.6,0.05,-61.2,-0.07,243.8,0.02
13,Exit short,3/12/2025 13:59,SL Hit,22418.6,4,89621.8,-52.6,-0.06,53.6,0.06,-52.6,-0.06,191.2,0.02
13,Entry short,3/12/2025 13:52,Short,22405.45,4,89621.8,-52.6,-0.06,53.6,0.06,-52.6,-0.06,191.2,0.02
14,Exit long,3/12/2025 14:42,SL Hit,22450.7,4,89753.8,49,0.05,146.8,0.16,0,0.00,240.2,0.02
14,Entry long,3/12/2025 14:17,Long,22438.45,4,89753.8,49,0.05,146.8,0.16,0,0.00,240.2,0.02
15,Exit long,3/12/2025 15:15,SL Hit,22468.4,4,89875.4,-1.8,0.00,101,0.11,-13,-0.01,238.4,0.02
15,Entry long,3/12/2025 14:57,Long,22468.85,4,89875.4,-1.8,0.00,101,0.11,-13,-0.01,238.4,0.02
16,Exit long,3/13/2025 9:15,TP Hit,22502.9,4,89860,151.6,0.17,151.6,0.17,-8.6,-0.01,390,0.04
16,Entry long,3/12/2025 15:29,Long,22465,4,89860,151.6,0.17,151.6,0.17,-8.6,-0.01,390,0.04
17,Exit long,3/13/2025 9:42,SL Hit,22477.15,4,89962.6,-54,-0.06,41.8,0.05,-54,-0.06,336,0.03
17,Entry long,3/13/2025 9:40,Long,22490.65,4,89962.6,-54,-0.06,41.8,0.05,-54,-0.06,336,0.03
18,Exit long,3/13/2025 9:51,SL Hit,22484.95,4,89994.8,-55,-0.06,1.6,0.00,-55,-0.06,281,0.03
18,Entry long,3/13/2025 9:49,Long,22498.7,4,89994.8,-55,-0.06,1.6,0.00,-55,-0.06,281,0.03
19,Exit long,3/13/2025 10:14,TP Hit,22550.95,4,90046.4,157.4,0.17,157.4,0.17,0,0.00,438.4,0.04
19,Entry long,3/13/2025 9:56,Long,22511.6,4,90046.4,157.4,0.17,157.4,0.17,0,0.00,438.4,0.04
20,Exit long,3/13/2025 10:25,SL Hit,22531.05,4,90174.4,-50.2,-0.06,57.8,0.06,-50.2,-0.06,388.2,0.04
20,Entry long,3/13/2025 10:16,Long,22543.6,4,90174.4,-50.2,-0.06,57.8,0.06,-50.2,-0.06,388.2,0.04
21,Exit short,3/13/2025 11:10,SL Hit,22506.15,4,89965.2,-59.4,-0.07,52,0.06,-59.4,-0.07,328.8,0.03
21,Entry short,3/13/2025 11:01,Short,22491.3,4,89965.2,-59.4,-0.07,52,0.06,-59.4,-0.07,328.8,0.03
22,Exit short,3/13/2025 11:46,TP Hit,22414.8,4,89929.4,270.2,0.30,270.2,0.30,0,0.00,599,0.06
22,Entry short,3/13/2025 11:30,Short,22482.35,4,89929.4,270.2,0.30,270.2,0.30,0,0.00,599,0.06
23,Exit short,3/13/2025 15:17,SL Hit,22412.45,4,89772.6,122.8,0.14,263.2,0.29,-41.4,-0.05,721.8,0.07
23,Entry short,3/13/2025 13:09,Short,22443.15,4,89772.6,122.8,0.14,263.2,0.29,-41.4,-0.05,721.8,0.07
24,Exit long,3/17/2025 9:17,SL Hit,22446.85,4,89787.4,0,0.00,0,0.00,0,0.00,721.8,0.07
24,Entry long,3/17/2025 9:17,Long,22446.85,4,89787.4,0,0.00,0,0.00,0,0.00,721.8,0.07
