Trade #,Option Type,Entry Date,Exit Date,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Entry Underlying Price,Exit Underlying Price,ATM Strike
1,CE,2025-03-11,2025-03-11,09:49,114.95,09:54,110.5,SL,22385.4,22378.3,22400
2,CE,2025-03-11,2025-03-11,10:14,129.7,10:30,124.1,SL,22416.8,22415.95,22400
3,CE,2025-03-11,2025-03-11,10:43,113.65,10:45,107.5,SL,22432.2,22421.65,22450
4,CE,2025-03-11,2025-03-11,10:57,134.9,11:17,118.95,SL,22449.9,22438.15,22450
5,CE,2025-03-11,2025-03-11,12:26,119.0,14:30,146.0,SL,22445.5,22491.5,22450
6,CE,2025-03-12,2025-03-12,09:15,96.25,09:15,90.3,TP,22512.75,22551.0,22550
7,PE,2025-03-12,2025-03-12,09:29,92.95,09:36,84.15,SL,22479.85,22486.85,22450
8,PE,2025-03-12,2025-03-12,10:05,98.3,10:36,76.3,SL,22446.3,22458.2,22450
9,PE,2025-03-12,2025-03-12,10:48,65.65,11:08,67.75,SL,22433.9,22417.35,22400
10,PE,2025-03-12,2025-03-12,11:28,83.6,11:37,92.75,TP,22397.95,22357.4,22400
11,PE,2025-03-12,2025-03-12,12:02,73.05,12:06,71.2,SL,22341.3,22357.25,22350
12,PE,2025-03-12,2025-03-12,12:47,75.7,12:53,66.8,SL,22346.7,22362.0,22350
13,PE,2025-03-12,2025-03-12,13:52,71.65,13:59,63.75,SL,22405.45,22418.6,22400
14,CE,2025-03-12,2025-03-12,14:17,71.2,14:42,81.3,SL,22438.45,22450.7,22450
15,CE,2025-03-12,2025-03-12,14:57,82.25,15:15,78.9,SL,22468.85,22468.4,22450
16,CE,2025-03-12,2025-03-13,15:29,77.55,09:15,74.4,TP,22465.0,22502.9,22450
17,CE,2025-03-13,2025-03-13,09:40,29.65,09:42,27.0,SL,22490.65,22477.15,22500
18,CE,2025-03-13,2025-03-13,09:49,31.65,09:51,29.95,SL,22498.7,22484.95,22500
19,CE,2025-03-13,2025-03-13,09:56,45.05,10:14,66.95,TP,22511.6,22550.95,22500
20,CE,2025-03-13,2025-03-13,10:16,32.75,10:25,23.05,SL,22543.6,22531.05,22550
21,PE,2025-03-13,2025-03-13,11:01,49.55,11:10,28.5,SL,22491.3,22506.15,22500
22,PE,2025-03-13,2025-03-13,11:30,59.1,11:46,98.0,TP,22482.35,22414.8,22500
23,PE,2025-03-13,2025-03-13,13:09,41.7,15:17,51.3,SL,22443.15,22412.45,22450
24,CE,2025-03-17,2025-03-17,09:17,132.55,09:17,134.95,SL,22446.85,22446.85,22500
25,PE,2025-03-17,2025-03-17,10:14,103.15,10:27,118.85,TP,22523.3,22484.35,22500
26,PE,2025-03-17,2025-03-17,10:27,118.85,10:56,107.9,SL,22491.5,22496.3,22500
27,PE,2025-03-17,2025-03-17,11:17,96.9,11:26,90.05,SL,22476.05,22490.9,22450
28,PE,2025-03-17,2025-03-17,12:17,106.45,12:24,117.25,TP,22505.65,22468.8,22500
29,PE,2025-03-17,2025-03-17,12:35,115.95,13:11,101.25,SL,22459.15,22466.35,22450
30,PE,2025-03-17,2025-03-17,13:50,98.8,13:54,89.6,SL,22480.75,22494.85,22450
31,CE,2025-03-17,2025-03-17,13:57,131.4,14:30,124.65,SL,22498.35,22500.45,22500
32,PE,2025-03-17,2025-03-17,14:42,107.15,14:51,98.55,SL,22493.95,22504.05,22500
33,CE,2025-03-17,2025-03-18,14:57,131.35,09:15,187.2,TP,22515.35,22552.75,22500
34,CE,2025-03-18,2025-03-18,09:15,127.0,09:15,123.25,SL,22576.7,22576.7,22600
35,CE,2025-03-18,2025-03-18,09:33,124.95,10:00,126.05,TP,22671.0,22714.15,22700
36,CE,2025-03-18,2025-03-18,10:02,111.0,10:14,113.25,TP,22703.9,22752.45,22750
37,CE,2025-03-18,2025-03-18,10:30,120.9,10:57,110.75,SL,22744.15,22750.7,22750
38,CE,2025-03-18,2025-03-18,11:33,100.8,12:24,85.7,SL,22765.4,22754.0,22800
39,CE,2025-03-18,2025-03-18,13:20,95.65,14:19,91.7,SL,22774.7,22771.25,22800
40,CE,2025-03-18,2025-03-18,14:46,98.5,15:24,132.0,TP,22796.7,22855.6,22800
41,PE,2025-03-19,2025-03-19,09:26,74.2,09:27,70.05,SL,22822.4,22832.25,22800
42,CE,2025-03-19,2025-03-19,09:47,105.3,10:09,89.35,SL,22859.85,22847.0,22850
43,CE,2025-03-19,2025-03-19,10:16,85.65,10:47,88.0,SL,22873.8,22888.4,22900
44,CE,2025-03-19,2025-03-19,11:42,89.55,11:44,84.35,SL,22900.15,22883.4,22900
45,CE,2025-03-19,2025-03-19,12:24,90.1,13:03,99.55,SL,22904.6,22918.35,22900
46,CE,2025-03-19,2025-03-19,13:38,97.0,13:48,87.95,SL,22921.8,22905.65,22900
47,CE,2025-03-19,2025-03-19,14:26,98.35,15:06,94.4,SL,22922.7,22906.05,22900
48,CE,2025-03-20,2025-03-20,09:15,70.5,09:15,63.45,SL,22965.3,22965.3,23000
49,CE,2025-03-20,2025-03-20,09:24,64.15,09:27,61.25,SL,23043.55,23036.0,23050
50,CE,2025-03-20,2025-03-20,10:05,46.15,10:05,35.4,SL,23034.0,23022.95,23050
51,PE,2025-03-20,2025-03-20,10:07,53.0,10:12,58.5,TP,23021.35,22974.15,23000
52,CE,2025-03-20,2025-03-20,10:59,44.9,13:09,68.7,TP,23038.1,23119.3,23050
53,CE,2025-03-20,2025-03-20,13:11,15.9,13:18,28.1,TP,23114.8,23154.2,23150
54,CE,2025-03-20,2025-03-20,13:38,20.9,15:27,0.05,SL,23177.8,23173.15,23200
55,CE,2025-03-21,2025-03-21,09:20,137.55,09:22,127.75,SL,23182.7,23173.05,23200
56,CE,2025-03-21,2025-03-21,09:33,146.75,09:40,163.2,TP,23196.5,23253.1,23200
57,CE,2025-03-21,2025-03-21,10:09,149.0,10:12,140.6,SL,23266.05,23254.05,23250
58,CE,2025-03-21,2025-03-21,10:27,126.0,10:38,148.8,TP,23272.0,23311.5,23300
59,CE,2025-03-21,2025-03-21,10:38,148.8,10:50,173.55,TP,23305.8,23345.5,23300
60,CE,2025-03-21,2025-03-21,11:23,142.95,11:42,137.1,SL,23353.0,23345.35,23350
61,CE,2025-03-21,2025-03-21,11:55,143.65,12:20,155.7,TP,23346.2,23383.5,23350
62,CE,2025-03-21,2025-03-21,12:22,144.25,13:14,133.0,SL,23365.85,23375.55,23400
63,CE,2025-03-21,2025-03-21,14:10,144.35,14:46,143.2,SL,23342.8,23334.6,23350
64,CE,2025-03-21,2025-03-24,15:09,142.75,09:15,208.75,TP,23348.6,23397.8,23350
65,CE,2025-03-24,2025-03-24,09:15,90.0,09:15,118.0,SL,23428.05,23428.05,23500
66,CE,2025-03-24,2025-03-24,09:49,136.05,09:56,154.1,TP,23488.55,23529.65,23500
67,CE,2025-03-24,2025-03-24,10:29,149.9,10:59,216.35,TP,23558.95,23626.75,23550
68,CE,2025-03-24,2025-03-24,11:23,165.65,11:39,146.8,SL,23616.4,23601.1,23600
69,CE,2025-03-24,2025-03-24,11:57,156.4,12:56,157.25,SL,23611.7,23625.05,23600
70,CE,2025-03-24,2025-03-24,13:12,139.95,13:45,133.0,SL,23647.2,23630.55,23650
71,CE,2025-03-24,2025-03-24,13:59,154.2,15:00,150.4,SL,23661.25,23661.05,23650
72,CE,2025-03-25,2025-03-25,09:15,125.65,09:15,151.45,SL,23714.8,23714.8,23750
73,CE,2025-03-25,2025-03-25,09:36,129.15,09:49,142.15,TP,23762.15,23805.75,23800
74,PE,2025-03-25,2025-03-25,10:36,103.0,10:36,112.1,TP,23775.5,23731.05,23750
75,PE,2025-03-25,2025-03-25,10:56,123.8,10:57,136.1,TP,23712.05,23666.75,23700
76,PE,2025-03-25,2025-03-25,11:24,99.9,11:53,89.0,SL,23684.25,23672.8,23650
77,PE,2025-03-25,2025-03-25,12:13,106.2,12:18,116.25,TP,23699.05,23655.05,23700
78,PE,2025-03-25,2025-03-25,13:02,78.7,13:09,75.75,SL,23677.35,23691.95,23650
79,PE,2025-03-25,2025-03-25,13:16,87.8,13:21,83.8,SL,23673.15,23672.45,23650
80,CE,2025-03-25,2025-03-25,13:50,127.2,14:21,105.4,SL,23726.1,23714.45,23750
81,PE,2025-03-25,2025-03-25,14:23,80.6,14:57,80.25,SL,23717.25,23709.8,23700
82,PE,2025-03-25,2025-03-25,15:17,77.7,15:27,99.3,TP,23663.5,23611.75,23650
83,CE,2025-03-26,2025-03-26,09:15,113.5,09:15,101.25,SL,23652.4,23652.4,23700
84,CE,2025-03-26,2025-03-26,10:34,109.3,10:41,88.1,SL,23676.7,23666.4,23700
85,PE,2025-03-26,2025-03-26,11:03,83.65,11:57,89.8,TP,23668.5,23607.1,23650
86,PE,2025-03-26,2025-03-26,11:59,83.3,12:02,89.8,TP,23617.8,23574.2,23600
87,PE,2025-03-26,2025-03-26,12:58,70.05,13:05,84.2,TP,23615.7,23575.9,23600
88,PE,2025-03-26,2025-03-26,13:09,65.85,13:21,69.3,SL,23575.0,23565.5,23550
89,PE,2025-03-26,2025-03-26,13:36,79.3,13:48,84.55,TP,23545.75,23505.15,23550
90,PE,2025-03-26,2025-03-26,14:19,71.9,14:57,103.35,TP,23543.35,23465.6,23550
91,CE,2025-03-27,2025-03-27,09:22,69.3,09:24,54.85,SL,23510.15,23503.05,23550
92,CE,2025-03-27,2025-03-27,09:56,65.05,10:05,95.9,TP,23558.65,23601.65,23550
93,CE,2025-03-27,2025-03-27,11:01,33.5,11:21,29.4,SL,23580.95,23587.3,23600
94,CE,2025-03-27,2025-03-27,12:42,21.5,14:32,6.2,SL,23594.65,23588.9,23600
95,CE,2025-03-27,2025-03-27,15:27,0.1,15:29,0.1,TP,23592.4,23632.2,23600
96,PE,2025-03-28,2025-03-28,09:26,132.6,09:36,157.0,TP,23574.75,23525.95,23550
97,PE,2025-03-28,2025-03-28,10:09,141.8,10:27,124.35,SL,23543.3,23556.75,23550
98,CE,2025-03-28,2025-03-28,10:30,160.6,10:32,172.9,TP,23562.25,23607.0,23600
99,CE,2025-03-28,2025-03-28,10:48,166.75,10:54,158.5,SL,23633.55,23622.3,23650
100,CE,2025-03-28,2025-03-28,12:00,146.75,12:17,128.35,SL,23589.1,23573.9,23600
101,PE,2025-03-28,2025-03-28,12:20,126.75,12:29,136.25,TP,23567.7,23525.0,23550
102,PE,2025-03-28,2025-03-28,13:05,128.4,13:07,120.9,SL,23492.75,23500.1,23500
103,PE,2025-03-28,2025-03-28,13:20,126.55,13:25,119.4,SL,23489.8,23506.9,23500
104,PE,2025-03-28,2025-03-28,13:43,123.0,13:48,141.65,TP,23496.3,23454.7,23500
105,CE,2025-03-28,2025-03-28,14:44,114.6,15:00,98.0,SL,23580.95,23566.55,23600
106,PE,2025-03-28,2025-03-28,15:04,120.65,15:29,120.2,TP,23544.35,23481.75,23550
107,PE,2025-04-01,2025-04-01,09:15,101.2,09:15,94.35,SL,23437.8,23437.8,23400
108,CE,2025-04-01,2025-04-01,09:29,124.3,09:33,141.75,TP,23462.5,23508.9,23450
109,PE,2025-04-01,2025-04-01,10:23,68.9,10:23,89.1,TP,23447.2,23394.5,23400
110,PE,2025-04-01,2025-04-01,10:27,104.85,10:27,105.8,SL,23346.1,23346.1,23350
111,PE,2025-04-01,2025-04-01,10:57,102.55,11:01,103.4,TP,23284.9,23233.5,23250
112,PE,2025-04-01,2025-04-01,11:37,89.8,12:02,103.4,TP,23218.75,23176.55,23200
113,PE,2025-04-01,2025-04-01,12:04,107.55,12:09,100.25,SL,23186.55,23200.5,23200
114,PE,2025-04-01,2025-04-01,12:56,92.4,13:34,109.05,SL,23205.7,23164.9,23200
115,PE,2025-04-01,2025-04-01,14:01,88.7,14:03,79.8,SL,23156.4,23172.2,23150
116,PE,2025-04-01,2025-04-01,14:10,90.15,14:30,82.1,SL,23157.4,23163.25,23150
117,PE,2025-04-01,2025-04-01,14:37,86.1,14:50,76.65,SL,23151.85,23166.6,23150
118,CE,2025-04-02,2025-04-02,09:15,110.75,09:15,108.15,SL,23195.05,23195.05,23200
119,CE,2025-04-02,2025-04-02,09:31,120.0,09:35,127.5,TP,23242.6,23286.2,23250
120,CE,2025-04-02,2025-04-02,10:18,90.8,10:23,79.45,SL,23242.55,23231.05,23250
121,CE,2025-04-02,2025-04-02,10:29,100.45,11:03,111.1,SL,23254.55,23287.15,23250
122,CE,2025-04-02,2025-04-02,11:37,78.35,11:41,62.0,SL,23285.9,23272.0,23300
123,CE,2025-04-02,2025-04-02,12:17,71.1,12:36,61.45,SL,23286.2,23275.7,23300
124,PE,2025-04-02,2025-04-02,12:58,68.7,13:02,64.5,SL,23248.95,23264.0,23250
125,CE,2025-04-02,2025-04-02,13:18,68.35,13:41,53.9,SL,23291.6,23281.4,23300
126,CE,2025-04-02,2025-04-02,14:26,63.0,14:53,59.9,SL,23294.35,23290.0,23300
127,CE,2025-04-02,2025-04-03,15:02,64.35,09:15,8.45,SL,23311.9,23296.95,23350
128,PE,2025-04-03,2025-04-03,09:15,61.4,09:15,73.65,SL,23255.15,23255.15,23200
129,CE,2025-04-03,2025-04-03,09:36,25.5,09:38,18.0,SL,23256.85,23252.25,23300
130,CE,2025-04-03,2025-04-03,10:07,34.8,11:03,30.5,SL,23251.25,23265.75,23250
131,CE,2025-04-03,2025-04-03,11:37,9.1,12:27,3.6,SL,23274.7,23258.3,23300
132,PE,2025-04-03,2025-04-03,12:45,10.15,13:30,6.55,Closed by Long Signal,23262.2,23265.1,23250
133,CE,2025-04-03,2025-04-03,13:30,14.4,14:12,12.85,Closed by Short Signal,23265.1,23261.55,23250
134,PE,2025-04-03,2025-04-04,14:12,4.2,09:15,240.5,TP,23261.55,23214.4,23250
135,PE,2025-04-04,2025-04-04,09:15,108.7,09:15,162.0,SL,23207.6,23207.6,23100
136,PE,2025-04-04,2025-04-04,09:51,141.9,09:51,147.25,TP,23045.7,23002.35,23000
137,PE,2025-04-04,2025-04-04,10:12,138.75,10:18,130.55,SL,22965.5,22978.55,22950
138,PE,2025-04-04,2025-04-04,10:25,155.0,10:32,145.0,SL,22942.6,22950.15,22950
139,PE,2025-04-04,2025-04-04,11:39,129.9,11:57,124.5,SL,22976.6,22978.65,22950
140,PE,2025-04-04,2025-04-04,12:36,136.2,13:21,124.9,SL,22963.25,22965.25,22950
141,PE,2025-04-04,2025-04-04,13:36,139.65,15:00,168.55,SL,22935.75,22882.0,22950
142,PE,2025-04-07,2025-04-07,09:15,330.0,09:15,260.9,SL,22407.35,22407.35,22050
143,PE,2025-04-07,2025-04-07,09:42,253.55,09:44,245.95,SL,22017.85,22019.95,22000
144,PE,2025-04-07,2025-04-07,10:00,267.65,10:00,257.45,SL,21986.8,21987.05,22000
145,PE,2025-04-07,2025-04-07,10:12,275.5,10:14,281.3,TP,21961.2,21913.15,21950
146,PE,2025-04-07,2025-04-07,11:19,278.6,11:28,277.35,SL,21983.45,21995.8,22000
147,PE,2025-04-07,2025-04-07,11:55,290.7,11:59,295.25,TP,21986.15,21950.05,22000
148,PE,2025-04-07,2025-04-07,12:13,308.6,12:17,333.4,TP,21906.9,21863.5,21900
149,PE,2025-04-07,2025-04-07,12:35,348.65,12:36,349.85,SL,21832.55,21838.5,21850
150,PE,2025-04-07,2025-04-07,13:18,321.05,13:23,302.3,SL,21843.15,21855.8,21800
151,CE,2025-04-07,2025-04-07,14:23,296.75,14:30,290.3,SL,22015.7,22007.1,22000
152,CE,2025-04-07,2025-04-07,14:32,278.5,14:32,284.0,TP,22031.15,22076.35,22050
153,CE,2025-04-07,2025-04-07,15:04,318.75,15:04,319.85,TP,22074.05,22120.9,22100
154,CE,2025-04-07,2025-04-07,15:24,283.25,15:24,294.2,SL,22201.75,22201.75,22250
155,PE,2025-04-08,2025-04-08,10:36,183.95,10:36,190.25,SL,22373.45,22373.45,22350
156,PE,2025-04-08,2025-04-08,11:28,190.8,11:28,184.6,TP,22374.65,22332.35,22350
157,CE,2025-04-08,2025-04-08,12:04,188.6,12:06,192.9,TP,22437.25,22478.1,22450
