instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price
NIFTY,sell,STRADDLE,23900.0,MONTH,1,2025-01-02 10:49:00+05:30,757.1,1,1,757.1,2025-01-02 12:25:00+05:30,779.9,STOP_LOSS,-22.799999999999955,-3.011491216483946,-1709.9999999999966,75,CLOSED,23900.0,23900.0,440.0,317.1,492.0,287.9
NIFTY,sell,STRADDLE,24150.0,MONTH,1,2025-01-02 13:56:00+05:30,727.55,1,1,727.55,2025-01-02 14:25:00+05:30,720.05,TARGET,7.5,1.0308569857741736,562.5,75,CLOSED,24150.0,24150.0,400.95,326.6,408.75,311.3
NIFTY,sell,STRADDLE,24050.0,MONTH,1,2025-01-03 11:11:00+05:30,701.8,1,1,701.8,2025-01-03 12:09:00+05:30,694.25,TARGET,7.5499999999999545,1.07580507267027,566.2499999999966,75,CLOSED,24050.0,24050.0,394.15,307.65,418.85,275.4
NIFTY,sell,STRADDLE,24100.0,MONTH,1,2025-01-03 13:05:00+05:30,686.95,1,1,686.95,2025-01-03 13:50:00+05:30,679.75,TARGET,7.2000000000000455,1.0481112162457304,540.0000000000034,75,CLOSED,24100.0,24100.0,393.85,293.1,371.7,308.05
NIFTY,sell,STRADDLE,24050.0,MONTH,1,2025-01-03 14:24:00+05:30,695.4000000000001,1,1,695.4000000000001,2025-01-03 14:31:00+05:30,685.95,TARGET,9.450000000000045,1.3589301121656663,708.7500000000034,75,CLOSED,24050.0,24050.0,381.35,314.05,380.4,305.55
NIFTY,sell,STRADDLE,23950.0,MONTH,1,2025-01-06 09:56:00+05:30,719.8,1,1,719.8,2025-01-06 09:59:00+05:30,710.7,TARGET,9.099999999999909,1.2642400666851779,682.4999999999932,75,CLOSED,23950.0,23950.0,416.3,303.5,405.0,305.7
NIFTY,sell,STRADDLE,23700.0,MONTH,1,2025-01-06 12:20:00+05:30,746.3,1,1,746.3,2025-01-06 14:39:00+05:30,765.75,STOP_LOSS,-19.450000000000045,-2.606190539997326,-1458.7500000000034,75,CLOSED,23700.0,23700.0,420.0,326.3,368.25,397.5
NIFTY,sell,STRADDLE,23750.0,MONTH,1,2025-01-07 11:24:00+05:30,701.45,1,1,701.45,2025-01-07 11:32:00+05:30,693.05,TARGET,8.400000000000091,1.1975194240501947,630.0000000000068,75,CLOSED,23750.0,23750.0,400.0,301.45,393.7,299.35
NIFTY,sell,STRADDLE,23700.0,MONTH,1,2025-01-07 12:26:00+05:30,701.4000000000001,1,1,701.4000000000001,2025-01-07 12:34:00+05:30,694.05,TARGET,7.350000000000136,1.047904191616786,551.2500000000102,75,CLOSED,23700.0,23700.0,406.85,294.55,408.05,286.0
NIFTY,sell,STRADDLE,23550.0,MONTH,1,2025-01-08 11:22:00+05:30,677.5,1,1,677.5,2025-01-08 11:50:00+05:30,670.3,TARGET,7.2000000000000455,1.0627306273062798,540.0000000000034,75,CLOSED,23550.0,23550.0,380.8,296.7,385.0,285.3
NIFTY,sell,STRADDLE,23600.0,MONTH,1,2025-01-08 13:34:00+05:30,660.0999999999999,1,1,660.0999999999999,2025-01-08 13:53:00+05:30,677.4,STOP_LOSS,-17.300000000000068,-2.620815028026067,-1297.500000000005,75,CLOSED,23600.0,23600.0,369.15,290.95,420.15,257.25
NIFTY,sell,STRADDLE,23700.0,MONTH,1,2025-01-08 14:14:00+05:30,665.7,1,1,665.7,2025-01-08 14:17:00+05:30,657.3,TARGET,8.400000000000091,1.261829652996859,630.0000000000068,75,CLOSED,23700.0,23700.0,383.75,281.95,374.75,282.55
NIFTY,sell,STRADDLE,23700.0,MONTH,1,2025-01-08 14:22:00+05:30,670.0999999999999,1,1,670.0999999999999,2025-01-08 14:28:00+05:30,662.1500000000001,TARGET,7.949999999999818,1.1863900910311622,596.2499999999864,75,CLOSED,23700.0,23700.0,398.2,271.9,371.8,290.35
NIFTY,sell,STRADDLE,23650.0,MONTH,1,2025-01-09 10:16:00+05:30,639.35,1,1,639.35,2025-01-09 10:25:00+05:30,632.5,TARGET,6.850000000000023,1.0714006412762997,513.7500000000017,75,CLOSED,23650.0,23650.0,364.75,274.6,360.95,271.55
NIFTY,sell,STRADDLE,23550.0,MONTH,1,2025-01-09 11:30:00+05:30,649.5,1,1,649.5,2025-01-09 14:45:00+05:30,654.95,EOD,-5.4500000000000455,-0.8391070053887676,-408.7500000000034,75,CLOSED,23550.0,23550.0,372.6,276.9,365.5,289.45
NIFTY,sell,STRADDLE,23350.0,MONTH,1,2025-01-10 10:06:00+05:30,682.55,1,1,682.55,2025-01-10 10:11:00+05:30,672.25,TARGET,10.299999999999955,1.5090469562669335,772.4999999999966,75,CLOSED,23350.0,23350.0,388.5,294.05,391.0,281.25
NIFTY,sell,STRADDLE,23450.0,MONTH,1,2025-01-10 10:53:00+05:30,660.2,1,1,660.2,2025-01-10 10:56:00+05:30,652.1500000000001,TARGET,8.049999999999955,1.219327476522259,603.7499999999966,75,CLOSED,23450.0,23450.0,379.25,280.95,374.6,277.55
NIFTY,sell,STRADDLE,23600.0,MONTH,1,2025-01-10 11:16:00+05:30,643.6500000000001,1,1,643.6500000000001,2025-01-10 11:27:00+05:30,635.95,TARGET,7.7000000000000455,1.1963023382273044,577.5000000000034,75,CLOSED,23600.0,23600.0,355.6,288.05,323.95,312.0
NIFTY,sell,STRADDLE,23300.0,MONTH,1,2025-01-13 10:40:00+05:30,643.8,1,1,643.8,2025-01-13 10:42:00+05:30,636.85,TARGET,6.949999999999932,1.079527803665724,521.2499999999949,75,CLOSED,23300.0,23300.0,364.45,279.35,341.0,295.85
NIFTY,sell,STRADDLE,23200.0,MONTH,1,2025-01-13 12:57:00+05:30,630.0999999999999,1,1,630.0999999999999,2025-01-13 13:06:00+05:30,623.25,TARGET,6.849999999999909,1.0871290271385352,513.7499999999932,75,CLOSED,23200.0,23200.0,344.95,285.15,331.05,292.2
NIFTY,sell,STRADDLE,23100.0,MONTH,1,2025-01-13 14:01:00+05:30,634.15,1,1,634.15,2025-01-13 14:18:00+05:30,627.1,TARGET,7.0499999999999545,1.1117243554364038,528.7499999999966,75,CLOSED,23100.0,23100.0,355.0,279.15,357.55,269.55
NIFTY,sell,STRADDLE,23200.0,MONTH,1,2025-01-14 10:50:00+05:30,583.1,1,1,583.1,2025-01-14 11:40:00+05:30,577.15,TARGET,5.9500000000000455,1.020408163265314,446.2500000000034,75,CLOSED,23200.0,23200.0,338.7,244.4,332.05,245.1
NIFTY,sell,STRADDLE,23200.0,MONTH,1,2025-01-14 12:06:00+05:30,580.5,1,1,580.5,2025-01-14 12:54:00+05:30,573.5,TARGET,7.0,1.2058570198105083,525.0,75,CLOSED,23200.0,23200.0,323.9,256.6,318.5,255.0
NIFTY,sell,STRADDLE,23150.0,MONTH,1,2025-01-14 13:14:00+05:30,578.35,1,1,578.35,2025-01-14 13:50:00+05:30,571.35,TARGET,7.0,1.210339759661105,525.0,75,CLOSED,23150.0,23150.0,338.0,240.35,322.0,249.35
NIFTY,sell,STRADDLE,23150.0,MONTH,1,2025-01-14 14:09:00+05:30,574.2,1,1,574.2,2025-01-14 14:20:00+05:30,566.35,TARGET,7.850000000000023,1.3671194705677503,588.7500000000017,75,CLOSED,23150.0,23150.0,333.2,241.0,346.0,220.35
NIFTY,sell,STRADDLE,23200.0,MONTH,1,2025-01-14 14:44:00+05:30,567.6500000000001,1,1,567.6500000000001,2025-01-14 14:45:00+05:30,567.65,EOD,1.1368683772161603e-13,2.0027629300029246e-14,8.526512829121202e-12,75,CLOSED,23200.0,23200.0,317.35,250.3,316.65,251.0
NIFTY,sell,STRADDLE,23300.0,MONTH,1,2025-01-15 10:46:00+05:30,529.95,1,1,529.95,2025-01-15 11:10:00+05:30,523.0,TARGET,6.9500000000000455,1.3114444758939607,521.2500000000034,75,CLOSED,23300.0,23300.0,283.15,246.8,269.65,253.35
NIFTY,sell,STRADDLE,23250.0,MONTH,1,2025-01-15 12:44:00+05:30,525.0,1,1,525.0,2025-01-15 14:40:00+05:30,519.2,TARGET,5.7999999999999545,1.1047619047618962,434.9999999999966,75,CLOSED,23250.0,23250.0,289.6,235.4,258.45,260.75
NIFTY,sell,STRADDLE,23300.0,MONTH,2,2025-01-16 11:31:00+05:30,979.15,1,1,979.15,2025-01-16 13:56:00+05:30,1004.5,STOP_LOSS,-25.350000000000023,-2.5889802379614997,-1901.2500000000018,75,CLOSED,23300.0,23300.0,590.25,388.9,633.5,371.0
NIFTY,sell,STRADDLE,23250.0,MONTH,2,2025-01-17 10:26:00+05:30,987.5,1,1,987.5,2025-01-17 10:36:00+05:30,970.0,TARGET,17.5,1.7721518987341773,1312.5,75,CLOSED,23250.0,23250.0,593.0,394.5,563.0,407.0
NIFTY,sell,STRADDLE,23150.0,MONTH,2,2025-01-17 11:53:00+05:30,1038.25,1,1,1038.25,2025-01-17 12:15:00+05:30,1026.9,TARGET,11.349999999999909,1.0931856489284768,851.2499999999932,75,CLOSED,23150.0,23150.0,627.2,411.05,643.9,383.0
NIFTY,sell,STRADDLE,23200.0,MONTH,2,2025-01-17 14:24:00+05:30,1008.5,1,1,1008.5,2025-01-17 14:45:00+05:30,1005.65,EOD,2.8500000000000227,0.28259791769955606,213.7500000000017,75,CLOSED,23200.0,23200.0,608.5,400.0,622.65,383.0
NIFTY,sell,STRADDLE,23250.0,MONTH,2,2025-01-20 09:57:00+05:30,1040.6,1,1,1040.6,2025-01-20 09:58:00+05:30,1027.85,TARGET,12.75,1.2252546607726313,956.25,75,CLOSED,23250.0,23250.0,616.85,423.75,616.85,411.0
