#,Date,Time,Type,Strike,Spot,Entry,SL,RSI,RSI_MA,Bias Change,Exit Time,Exit Price,Exit RSI,Exit RSI_MA,Exit Reason,PCR_Entry,PCR_Exit,Duration,P&L
1,2026-01-01,09:42,PE,26150,26168.15,73.05,70.13,55.1,54.91,BULLISH→BEARISH,09:43,70.13,45.66,54.49,STOP_LOSS,1.0787,0.9753,1,-219.15
2,2026-01-01,09:43,CE,26200,26185.55,86.5,83.04,48.71,38.73,BEARISH→BULLISH,09:45,83.04,41.5,39.56,STOP_LOSS,0.9753,1.0809,2,-259.5
3,2026-01-01,09:49,CE,26200,26188.55,87.8,84.29,52.63,41.71,NEUTRAL→BULLISH,09:57,84.29,42.49,49.17,STOP_LOSS,0.9908,1.0322,8,-263.4
4,2026-01-01,09:57,PE,26200,26176.55,90.4,86.78,52.6,46.88,BULLISH→BEARISH,10:06,93.5,51.19,53.34,RSI_EXIT,1.0322,1.088,9,232.5
5,2026-01-01,10:07,CE,26200,26176.75,79.7,76.51,46.22,43.32,NEUTRAL→BULLISH,10:09,76.51,40.75,42.12,STOP_LOSS,0.9826,1.0871,2,-239.1
6,2026-01-01,10:09,PE,26150,26165.85,74.45,71.47,56.63,54.58,NEUTRAL→BEARISH,10:24,84.25,58.24,66.68,RSI_EXIT,1.0871,1.016,15,735.0
7,2026-01-01,10:35,CE,26150,26172.4,105.95,101.71,63.45,47.7,NEUTRAL→BULLISH,10:36,101.71,58.96,50.24,STOP_LOSS,0.9699,0.9699,1,-317.85
8,2026-01-01,10:38,PE,26150,26160.05,72.8,69.89,44.02,43.79,NEUTRAL→BEARISH,10:43,69.89,44.21,42.44,STOP_LOSS,0.9895,1.0117,5,-218.4
9,2026-01-01,10:46,CE,26150,26173.55,107.45,103.15,62.44,55.17,NEUTRAL→BULLISH,10:56,109.6,59.97,61.67,RSI_EXIT,1.0122,0.9808,10,161.25
10,2026-01-01,11:01,CE,26200,26177.15,83.6,80.26,64.72,62.49,NEUTRAL→BULLISH,11:03,81.5,56.18,62.22,RSI_EXIT,0.998,1.1024,2,-157.5
11,2026-01-01,11:04,PE,26150,26164.55,65.1,62.5,46.31,36.13,NEUTRAL→BEARISH,11:12,62.5,40.75,43.93,STOP_LOSS,1.1035,1.1086,8,-195.3
12,2026-01-01,11:12,CE,26150,26170.35,109.35,104.98,54.97,51.94,BEARISH→BULLISH,11:15,104.98,49.95,50.51,STOP_LOSS,1.1086,1.1002,3,-328.05
13,2026-01-01,11:16,PE,26150,26163.9,65.0,62.4,48.65,46.89,NEUTRAL→BEARISH,11:19,63.35,44.21,47.69,RSI_EXIT,1.1005,1.0988,3,-123.75
14,2026-01-01,11:19,CE,26150,26170.0,107.95,103.63,52.79,48.49,BEARISH→BULLISH,11:22,104.2,45.61,49.56,RSI_EXIT,1.0988,1.099,3,-281.25
15,2026-01-01,11:24,CE,26150,26169.95,106.35,102.1,49.66,50.06,BEARISH→BULLISH,11:25,104.8,46.92,50.22,RSI_EXIT,1.099,1.0954,1,-116.25
16,2026-01-01,11:22,PE,26150,26165.55,65.35,62.74,50.93,46.97,BULLISH→BEARISH,11:26,62.74,45.91,47.07,STOP_LOSS,1.099,1.0954,4,-196.05
17,2026-01-01,11:26,CE,26150,26169.45,107.6,103.3,52.07,50.01,BEARISH→BULLISH,11:29,103.95,45.18,49.53,RSI_EXIT,1.0954,1.1072,3,-273.75
18,2026-01-01,11:29,PE,26150,26165.75,65.4,62.78,52.19,47.61,BULLISH→BEARISH,11:37,66.15,50.79,52.26,RSI_EXIT,1.1072,1.0839,8,56.25
19,2026-01-01,11:39,PE,26150,26161.0,68.0,65.28,55.6,53.02,NEUTRAL→BEARISH,11:54,73.0,52.35,66.08,RSI_EXIT,1.0839,1.0317,15,375.0
20,2026-01-01,12:37,PE,26150,26145.1,75.6,72.58,49.46,43.64,NEUTRAL→BEARISH,12:45,74.35,44.4,49.11,RSI_EXIT,0.9769,0.9677,8,-93.75
21,2026-01-01,12:48,CE,26150,26161.05,94.1,90.34,61.81,48.61,NEUTRAL→BULLISH,12:50,90.34,50.83,48.6,STOP_LOSS,0.9648,0.973,2,-282.3
22,2026-01-01,12:52,PE,26150,26149.6,74.05,71.09,47.68,47.58,NEUTRAL→BEARISH,12:54,72.8,44.62,45.98,RSI_EXIT,0.973,0.977,2,-93.75
23,2026-01-01,13:05,PE,26150,26150.9,70.7,67.87,43.47,42.25,NEUTRAL→BEARISH,13:06,69.6,40.15,41.71,RSI_EXIT,1.0029,1.0029,1,-82.5
24,2026-01-01,13:11,PE,26150,26150.8,71.25,68.4,49.37,41.37,NEUTRAL→BEARISH,13:14,69.1,41.92,43.01,RSI_EXIT,1.0053,1.0096,3,-161.25
25,2026-01-01,13:15,CE,26150,26157.15,96.3,92.45,61.35,53.81,BEARISH→BULLISH,13:20,92.45,47.79,54.07,STOP_LOSS,1.0096,1.0121,5,-288.9
26,2026-01-01,13:21,PE,26150,26152.85,71.15,68.3,54.08,42.85,NEUTRAL→BEARISH,13:28,70.85,47.65,50.23,RSI_EXIT,1.0121,0.9911,7,-22.5
27,2026-01-01,13:30,CE,26150,26156.4,90.8,87.17,51.19,45.39,NEUTRAL→BULLISH,13:34,87.17,39.66,42.49,STOP_LOSS,0.9747,0.9847,4,-272.4
28,2026-01-01,13:37,PE,26150,26147.4,71.6,68.74,50.93,51.65,NEUTRAL→BEARISH,13:43,71.55,49.41,50.41,RSI_EXIT,0.9876,0.9839,6,-3.75
29,2026-01-01,13:46,PE,26150,26142.9,73.35,70.42,54.99,51.36,NEUTRAL→BEARISH,13:49,72.0,49.92,51.7,RSI_EXIT,0.9868,0.9865,3,-101.25
30,2026-01-01,13:51,CE,26150,26156.1,89.1,85.54,52.44,46.17,NEUTRAL→BULLISH,13:58,87.7,47.03,49.81,RSI_EXIT,0.9819,0.9872,7,-105.0
31,2026-01-01,13:59,CE,26150,26157.1,90.25,86.64,53.66,50.18,NEUTRAL→BULLISH,14:10,94.15,56.55,57.93,RSI_EXIT,0.9943,1.0455,11,292.5
32,2026-01-01,14:16,CE,26150,26167.45,98.3,94.37,63.98,60.8,NEUTRAL→BULLISH,14:21,98.65,57.46,62.16,RSI_EXIT,1.064,1.0779,5,26.25
33,2026-01-01,14:26,PE,26150,26156.25,64.2,61.63,47.78,38.09,NEUTRAL→BEARISH,14:34,61.7,40.45,47.59,RSI_EXIT,1.0861,1.0778,8,-187.5
34,2026-01-01,14:33,CE,26150,26159.75,93.0,89.28,47.84,48.29,BEARISH→BULLISH,14:49,89.85,40.15,46.87,RSI_EXIT,1.0778,1.0601,16,-236.25
35,2026-01-01,14:49,PE,26150,26154.0,67.6,64.9,61.41,52.75,NEUTRAL→BEARISH,14:52,65.85,51.47,54.23,RSI_EXIT,1.0601,1.0471,3,-131.25
36,2026-01-01,14:55,CE,26150,26160.5,92.3,88.61,49.15,47.04,BEARISH→BULLISH,14:56,91.2,45.76,46.96,RSI_EXIT,1.047,1.0499,1,-82.5
37,2026-01-01,14:54,PE,26150,26155.4,66.35,63.7,53.49,54.18,BULLISH→BEARISH,14:58,65.35,47.81,54.98,RSI_EXIT,1.047,1.0499,4,-75.0
38,2026-01-02,10:14,CE,26250,26254.65,90.5,86.88,60.82,58.57,NEUTRAL→BULLISH,10:17,89.15,54.35,57.6,RSI_EXIT,1.4457,1.3934,3,-101.25
39,2026-01-02,10:24,CE,26250,26252.0,89.05,85.49,53.92,54.9,NEUTRAL→BULLISH,10:25,87.0,48.7,54.52,RSI_EXIT,1.4057,1.4267,1,-153.75
40,2026-01-02,10:35,CE,26250,26245.25,87.4,83.9,51.97,47.74,NEUTRAL→BULLISH,10:43,88.75,51.18,52.27,RSI_EXIT,1.422,1.4086,8,101.25
41,2026-01-02,11:13,CE,26250,26255.0,89.5,85.92,51.21,46.59,NEUTRAL→BULLISH,11:38,100.8,60.06,64.85,RSI_EXIT,1.451,1.4494,25,847.5
42,2026-01-02,12:11,CE,26300,26289.25,72.9,69.98,51.22,49.77,NEUTRAL→BULLISH,12:13,72.25,48.01,49.91,RSI_EXIT,1.5576,1.5589,2,-48.75
43,2026-01-02,12:21,CE,26300,26290.15,72.85,69.94,53.74,47.27,NEUTRAL→BULLISH,12:39,79.55,63.16,65.35,RSI_EXIT,1.5563,1.6424,18,502.5
44,2026-01-02,12:57,CE,26300,26294.5,74.0,71.04,44.39,42.45,NEUTRAL→BULLISH,13:26,74.95,42.27,58.35,RSI_EXIT,1.5958,1.5766,29,71.25
45,2026-01-02,13:40,CE,26300,26306.6,75.35,72.34,47.6,47.21,NEUTRAL→BULLISH,13:41,74.75,45.07,47.8,RSI_EXIT,1.5908,1.5885,1,-45.0
46,2026-01-02,13:42,CE,26300,26305.25,75.75,72.72,49.85,48.46,NEUTRAL→BULLISH,13:43,75.05,46.78,48.85,RSI_EXIT,1.5885,1.5885,1,-52.5
47,2026-01-02,13:45,CE,26300,26305.7,76.1,73.06,51.79,50.43,NEUTRAL→BULLISH,13:47,75.15,47.18,50.88,RSI_EXIT,1.5926,1.5966,2,-71.25
48,2026-01-02,13:52,CE,26300,26305.85,76.7,73.63,54.02,49.85,NEUTRAL→BULLISH,13:57,74.0,42.7,52.3,RSI_EXIT,1.6031,1.6059,5,-202.5
49,2026-01-02,14:08,CE,26300,26302.5,74.8,71.81,48.12,46.45,NEUTRAL→BULLISH,14:28,76.65,52.33,55.52,RSI_EXIT,1.5734,1.5644,20,138.75
50,2026-01-02,14:50,CE,26300,26277.85,67.25,64.56,46.11,31.28,NEUTRAL→BULLISH,15:00,76.55,72.87,51.2,EOD,1.443,1.4271,10,697.5
51,2026-01-05,09:30,PE,26300,26295.7,61.9,59.42,58.73,49.34,NEUTRAL→BEARISH,09:40,61.2,47.94,62.28,RSI_EXIT,1.2921,1.132,10,-52.5
52,2026-01-05,09:50,CE,26300,26309.7,66.2,63.55,59.54,40.59,NEUTRAL→BULLISH,09:51,63.55,48.79,42.02,STOP_LOSS,1.1246,1.1246,1,-198.6
53,2026-01-05,09:54,CE,26300,26305.0,64.1,61.54,55.74,45.62,NEUTRAL→BULLISH,10:02,61.54,47.53,55.98,STOP_LOSS,1.1686,1.228,8,-192.3
54,2026-01-05,10:02,PE,26300,26302.5,55.8,53.57,48.41,41.48,BULLISH→BEARISH,10:03,53.57,47.09,41.96,STOP_LOSS,1.228,1.228,1,-167.4
55,2026-01-05,10:06,CE,26300,26319.85,73.95,70.99,58.95,55.42,BEARISH→BULLISH,10:07,70.99,59.17,55.92,STOP_LOSS,1.2508,1.1788,1,-221.85
56,2026-01-05,10:39,CE,26350,26362.9,68.75,66.0,57.23,57.7,NEUTRAL→BULLISH,10:40,66.0,45.59,56.02,STOP_LOSS,1.4569,1.4424,1,-206.25
57,2026-01-05,10:45,CE,26350,26350.35,62.1,59.62,50.09,50.22,NEUTRAL→BULLISH,10:46,59.62,46.86,49.49,STOP_LOSS,1.4622,1.4072,1,-186.3
58,2026-01-05,10:48,CE,26350,26351.75,60.35,57.94,48.53,48.4,NEUTRAL→BULLISH,10:59,58.5,43.84,50.66,RSI_EXIT,1.4072,1.4238,11,-138.75
59,2026-01-05,11:01,CE,26350,26356.0,62.75,60.24,50.82,51.08,NEUTRAL→BULLISH,11:06,63.15,49.98,51.58,RSI_EXIT,1.4315,1.4255,5,30.0
60,2026-01-05,11:11,CE,26350,26356.55,62.55,60.05,50.42,49.35,NEUTRAL→BULLISH,11:15,60.05,45.66,49.92,STOP_LOSS,1.4161,1.4113,4,-187.65
61,2026-01-05,11:31,CE,26350,26330.65,47.3,45.41,41.47,37.12,NEUTRAL→BULLISH,11:32,45.41,38.03,36.42,STOP_LOSS,1.3095,1.3928,1,-141.9
62,2026-01-05,11:33,PE,26300,26318.8,47.9,45.98,62.4,63.19,NEUTRAL→BEARISH,11:36,45.98,56.64,63.94,STOP_LOSS,1.3928,1.385,3,-143.7
63,2026-01-05,11:39,CE,26350,26325.85,44.6,42.82,41.85,38.0,NEUTRAL→BULLISH,11:51,47.2,46.49,48.91,RSI_EXIT,1.2928,1.2666,12,195.0
64,2026-01-05,11:57,PE,26300,26320.05,44.85,43.06,55.05,49.11,NEUTRAL→BEARISH,11:58,43.06,42.5,49.25,STOP_LOSS,1.34,1.2556,1,-134.55
65,2026-01-05,11:58,CE,26350,26335.7,48.2,46.27,52.94,46.76,BEARISH→BULLISH,11:59,46.27,46.75,46.33,STOP_LOSS,1.2556,1.2556,1,-144.6
66,2026-01-05,12:01,PE,26300,26319.55,48.1,46.18,59.76,51.26,BULLISH→BEARISH,12:05,46.18,57.23,55.09,STOP_LOSS,1.3236,1.3196,4,-144.3
67,2026-01-05,12:06,CE,26350,26326.0,42.5,40.8,46.34,41.33,BEARISH→BULLISH,12:07,40.8,40.91,41.49,STOP_LOSS,1.2437,1.3064,1,-127.5
68,2026-01-05,12:07,PE,26300,26320.5,47.3,45.41,55.71,54.53,BULLISH→BEARISH,12:09,45.41,52.28,54.22,STOP_LOSS,1.3064,1.306,2,-141.9
69,2026-01-05,12:10,CE,26350,26326.05,42.0,40.32,47.25,42.19,NEUTRAL→BULLISH,12:11,40.32,43.85,42.39,STOP_LOSS,1.2278,1.3025,1,-126.0
70,2026-01-05,12:11,PE,26300,26322.65,46.15,44.3,52.96,53.77,BULLISH→BEARISH,12:12,44.3,43.57,53.85,STOP_LOSS,1.3025,1.2277,1,-138.45
71,2026-01-05,12:12,CE,26350,26329.5,44.5,42.72,52.87,42.39,BEARISH→BULLISH,12:13,42.72,52.44,42.79,STOP_LOSS,1.2277,1.231,1,-133.5
72,2026-01-05,12:24,CE,26350,26337.4,47.85,45.94,56.99,55.27,NEUTRAL→BULLISH,12:25,45.94,52.46,55.88,STOP_LOSS,1.2521,1.2603,1,-143.55
73,2026-01-05,12:30,CE,26350,26339.45,47.8,45.89,55.7,55.16,NEUTRAL→BULLISH,12:31,45.89,51.66,54.7,STOP_LOSS,1.2649,1.2586,1,-143.4
74,2026-01-05,12:49,CE,26350,26333.8,44.3,42.53,50.26,46.57,NEUTRAL→BULLISH,12:58,42.53,42.59,50.48,STOP_LOSS,1.2724,1.2585,9,-132.9
75,2026-01-05,14:38,PE,26250,26235.5,69.85,67.06,54.68,46.29,NEUTRAL→BEARISH,14:39,67.06,52.3,46.68,STOP_LOSS,0.7935,0.7935,1,-209.55
76,2026-01-06,09:33,CE,26200,26212.1,50.75,48.72,52.84,34.85,NEUTRAL→BULLISH,09:34,48.72,52.28,35.92,STOP_LOSS,0.7425,0.7872,1,-152.25
77,2026-01-06,09:45,CE,26200,26211.85,45.3,43.49,49.36,46.63,BEARISH→BULLISH,10:04,75.7,62.69,66.27,RSI_EXIT,0.8155,1.0956,19,2280.0
78,2026-01-06,10:17,CE,26250,26248.85,38.05,36.53,53.89,51.22,NEUTRAL→BULLISH,10:18,36.53,45.58,50.25,STOP_LOSS,1.0952,1.0952,1,-114.15
79,2026-01-06,10:28,CE,26250,26229.1,25.05,24.05,40.82,41.8,NEUTRAL→BULLISH,10:29,24.05,37.98,41.01,STOP_LOSS,1.0357,1.1021,1,-75.15
80,2026-01-06,10:32,CE,26250,26232.05,23.6,22.66,39.79,38.72,NEUTRAL→BULLISH,10:33,22.66,39.19,38.59,STOP_LOSS,1.0161,1.0161,1,-70.8
81,2026-01-06,10:49,PE,26200,26208.95,30.25,29.04,61.34,59.07,NEUTRAL→BEARISH,10:50,29.04,56.6,59.04,STOP_LOSS,0.9503,0.9503,1,-90.75
