instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,level_1_target,level_1_pct,level_1_capital_pct,part_1_time,part_1_price
NIFTY,buy,PE,23600.0,WEEK,1,2025-01-01 09:43:00+05:30,118.85,1,1,118.85,2025-01-01 09:44:00+05:30,114.09599999999999,STOP_LOSS,-4.754000000000005,-4.000000000000004,-356.55000000000035,75,CLOSED,118.85,0,100.0,2025-01-01 09:43:00+05:30,118.85
NIFTY,buy,CE,23600.0,WEEK,1,2025-01-01 10:11:00+05:30,150.95,1,1,150.95,2025-01-01 10:12:00+05:30,162.27124999999998,TARGET,11.321249999999992,7.499999999999996,849.0937499999994,75,CLOSED,150.95,0,100.0,2025-01-01 10:11:00+05:30,150.95
NIFTY,buy,CE,23650.0,WEEK,1,2025-01-01 10:39:00+05:30,154.9,1,1,154.9,2025-01-01 10:41:00+05:30,148.704,STOP_LOSS,-6.195999999999998,-3.9999999999999987,-464.6999999999998,75,CLOSED,154.9,0,100.0,2025-01-01 10:39:00+05:30,154.9
NIFTY,buy,CE,23800.0,WEEK,1,2025-01-01 11:17:00+05:30,134.5,1,1,134.5,2025-01-01 11:19:00+05:30,129.12,STOP_LOSS,-5.3799999999999955,-3.9999999999999964,-403.49999999999966,75,CLOSED,134.5,0,100.0,2025-01-01 11:17:00+05:30,134.5
NIFTY,buy,PE,23700.0,WEEK,1,2025-01-01 11:34:00+05:30,125.55,1,1,125.55,2025-01-01 11:41:00+05:30,120.52799999999999,STOP_LOSS,-5.022000000000006,-4.000000000000004,-376.65000000000043,75,CLOSED,125.55,0,100.0,2025-01-01 11:34:00+05:30,125.55
NIFTY,buy,CE,23750.0,WEEK,1,2025-01-01 12:20:00+05:30,164.6,1,1,164.6,2025-01-01 12:21:00+05:30,176.945,TARGET,12.344999999999999,7.5,925.8749999999999,75,CLOSED,164.6,0,100.0,2025-01-01 12:20:00+05:30,164.6
NIFTY,buy,CE,23800.0,WEEK,1,2025-01-01 13:59:00+05:30,143.25,1,1,143.25,2025-01-01 14:00:00+05:30,153.99375,TARGET,10.743750000000006,7.5000000000000036,805.7812500000005,75,CLOSED,143.25,0,100.0,2025-01-01 13:59:00+05:30,143.25
NIFTY,buy,CE,23800.0,WEEK,1,2025-01-01 14:36:00+05:30,130.05,1,1,130.05,2025-01-01 14:37:00+05:30,124.84800000000001,STOP_LOSS,-5.201999999999998,-3.9999999999999982,-390.14999999999986,75,CLOSED,130.05,0,100.0,2025-01-01 14:36:00+05:30,130.05
NIFTY,buy,CE,23800.0,WEEK,1,2025-01-02 09:37:00+05:30,123.0,1,1,123.0,2025-01-02 09:38:00+05:30,118.08,STOP_LOSS,-4.920000000000002,-4.000000000000002,-369.0000000000001,75,CLOSED,123.0,0,100.0,2025-01-02 09:37:00+05:30,123.0
NIFTY,buy,CE,23850.0,WEEK,1,2025-01-02 09:41:00+05:30,104.1,1,1,104.1,2025-01-02 09:42:00+05:30,99.93599999999999,STOP_LOSS,-4.1640000000000015,-4.000000000000002,-312.3000000000001,75,CLOSED,104.1,0,100.0,2025-01-02 09:41:00+05:30,104.1
NIFTY,buy,CE,23900.0,WEEK,1,2025-01-02 10:49:00+05:30,113.7,1,1,113.7,2025-01-02 10:51:00+05:30,122.22749999999999,TARGET,8.52749999999999,7.49999999999999,639.5624999999992,75,CLOSED,113.7,0,100.0,2025-01-02 10:49:00+05:30,113.7
NIFTY,buy,CE,23950.0,WEEK,1,2025-01-02 11:09:00+05:30,97.35,1,1,97.35,2025-01-02 11:12:00+05:30,93.45599999999999,STOP_LOSS,-3.8940000000000055,-4.000000000000005,-292.0500000000004,75,CLOSED,97.35,0,100.0,2025-01-02 11:09:00+05:30,97.35
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-02 12:25:00+05:30,96.75,1,1,96.75,2025-01-02 12:26:00+05:30,92.88,STOP_LOSS,-3.8700000000000045,-4.000000000000005,-290.25000000000034,75,CLOSED,96.75,0,100.0,2025-01-02 12:25:00+05:30,96.75
NIFTY,buy,CE,24000.0,WEEK,1,2025-01-02 12:28:00+05:30,100.7,1,1,100.7,2025-01-02 12:29:00+05:30,108.2525,TARGET,7.552499999999995,7.499999999999994,566.4374999999997,75,CLOSED,100.7,0,100.0,2025-01-02 12:28:00+05:30,100.7
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-02 14:12:00+05:30,24.65,1,1,24.65,2025-01-02 14:13:00+05:30,23.663999999999998,STOP_LOSS,-0.9860000000000007,-4.000000000000003,-73.95000000000005,75,CLOSED,24.65,0,100.0,2025-01-02 14:12:00+05:30,24.65
NIFTY,buy,CE,24150.0,WEEK,1,2025-01-02 14:19:00+05:30,33.65,1,1,33.65,2025-01-02 14:20:00+05:30,32.303999999999995,STOP_LOSS,-1.3460000000000036,-4.0000000000000115,-100.95000000000027,75,CLOSED,33.65,0,100.0,2025-01-02 14:19:00+05:30,33.65
NIFTY,buy,CE,24200.0,WEEK,1,2025-01-02 14:48:00+05:30,12.5,1,1,12.5,2025-01-02 14:49:00+05:30,12.0,STOP_LOSS,-0.5,-4.0,-37.5,75,CLOSED,12.5,0,100.0,2025-01-02 14:48:00+05:30,12.5
