date,direction,strike,expiry_date,alert_time,alert_high,alert_low,alert_close,alert_ema,confirm_time,confirm_close,entry_time,entry_price_futures,entry_price_option,entry_spot_price,sl_level,tp_level,exit_time,exit_price_futures,exit_price_option,exit_reason,pnl_futures_points,pnl_option_points,pnl_option_pct,pnl_inr
2025-01-01,CE,23600,2025-01-02,10:20,23789.4,23770.0,23782.5,23767.22,10:25,23806.0,10:30,23804.35,175.25,23651.75,23777.5,23831.2,10:47,23831.2,196.0,TP,26.85,20.75,11.84,1348.75
2025-01-01,CE,23650,2025-01-02,10:40,23822.85,23803.9,23806.5,23798.53,10:45,23868.95,10:50,23866.4,197.95,23712.85,23801.5,23931.3,13:59,23931.3,242.35,TP,64.9,44.4,22.43,2886.0
2025-01-02,CE,23800,2025-01-02,10:00,23955.0,23941.0,23950.0,23938.46,10:05,23961.75,10:10,23962.6,130.6,23844.65,23945.0,23980.2,10:12,23980.2,148.3,TP,17.6,17.7,13.553,1150.5
2025-01-02,CE,23900,2025-01-02,11:00,24049.0,24035.2,24039.1,24025.84,11:05,24057.6,11:10,24059.9,132.7,23946.2,24034.1,24085.7,11:20,24034.1,115.5,SL,-25.8,-17.2,-12.962,-1118.0
2025-01-02,CE,24000,2025-01-02,12:45,24155.15,24136.4,24146.55,24131.93,12:50,24165.2,12:55,24165.95,124.85,24065.6,24141.55,24190.35,13:16,24190.35,126.5,TP,24.4,1.65,1.322,107.25
2025-01-02,CE,24050,2025-01-02,13:10,24189.0,24174.8,24178.25,24168.05,13:15,24201.7,13:20,24204.0,85.5,24108.2,24173.25,24234.75,13:44,24234.75,106.5,TP,30.75,21.0,24.561,1365.0
2025-01-02,CE,24100,2025-01-02,14:10,24240.0,24226.25,24230.65,24224.03,14:15,24254.5,14:20,24251.4,78.15,24169.4,24225.65,24277.15,14:48,24277.15,99.75,TP,25.75,21.6,27.639,1404.0
2025-01-02,CE,24150,2025-01-02,14:40,24275.0,24260.05,24264.0,24256.24,14:45,24285.0,14:50,24289.65,51.2,24195.75,24259.0,24320.3,15:00,24297.05,50.85,EOD,7.4,-0.35,-0.684,-22.75
2025-01-03,PE,24150,2025-01-09,09:30,24218.8,24181.0,24187.3,24224.19,09:35,24180.2,09:40,24183.4,216.65,24100.35,24192.3,24174.5,09:40,24192.3,205.15,SL,-8.9,-11.5,-5.308,-747.5
2025-01-03,CE,24100,2025-01-09,11:15,24174.45,24148.1,24174.45,24147.31,11:20,24215.0,11:25,24218.0,174.9,24133.0,24169.45,24266.55,12:16,24169.45,142.25,SL,-48.55,-32.65,-18.668,-2122.25
2025-01-03,PE,24100,2025-01-09,12:20,24182.7,24154.0,24162.75,24186.64,12:25,24147.1,12:30,24146.0,186.9,24060.1,24167.75,24124.25,12:42,24167.75,169.6,SL,-21.75,-17.3,-9.256,-1124.5
2025-01-03,PE,24100,2025-01-09,13:50,24174.8,24156.4,24166.4,24176.99,13:55,24126.1,14:00,24120.3,197.15,24041.25,24171.4,24069.2,15:00,24105.05,206.2,EOD,15.25,9.05,4.59,588.25
2025-01-06,PE,23950,2025-01-09,10:30,24048.9,24025.1,24030.0,24061.56,10:35,24015.0,10:40,24016.0,174.2,23923.95,24035.0,23997.0,10:41,23997.0,193.55,TP,19.0,19.35,11.108,1257.75
2025-01-06,PE,23900,2025-01-09,10:45,23968.0,23931.1,23948.25,23994.32,10:50,23919.5,10:55,23919.5,205.95,23834.25,23953.25,23885.75,11:09,23885.75,233.45,TP,33.75,27.5,13.353,1787.5
2025-01-06,PE,23800,2025-01-09,11:05,23913.8,23876.45,23880.0,23914.18,11:10,23844.95,11:15,23844.95,202.65,23744.3,23885.0,23804.9,11:42,23804.9,233.55,TP,40.05,30.9,15.248,2008.5
2025-01-06,PE,23650,2025-01-09,11:50,23751.75,23721.1,23727.0,23774.93,11:55,23712.9,12:00,23723.1,205.25,23609.9,23732.0,23714.2,12:00,23732.0,186.85,SL,-8.9,-18.4,-8.965,-1196.0
