date,signal_time,direction,atm_iv,hv_20d,ratio,spot,expiry,net_credit_pts,tp_pts,sl_pts,exit_time,exit_reason,pnl_pts,pnl_inr,running_equity_inr,sanity_flag,fill_fallback,missing_at_exit,missing_minutes,sell_ce_strike,sell_ce_offset,sell_ce_delta,sell_ce_entry,sell_ce_exit,buy_ce_strike,buy_ce_offset,buy_ce_delta,buy_ce_entry,buy_ce_exit,sell_pe_strike,sell_pe_offset,sell_pe_delta,sell_pe_entry,sell_pe_exit,buy_pe_strike,buy_pe_offset,buy_pe_delta,buy_pe_entry,buy_pe_exit
2020-08-03,09:45,bearish,24.914,16.233,1.535,10987.7999,2020-08-06,35.7,17.85,-71.4,15:10,TIME,3.3,858.0,858.0,False,False,,0,11200.0,4,0.206,28.75,16.5,11350.0,7,0.087,10.35,6.65,10750.0,-5,-0.185,27.95,34.95,10600.0,-8,-0.082,10.65,12.4
2020-08-04,09:45,bearish,24.852,16.791,1.48,10959.6,2020-08-06,23.45,11.73,-46.9,15:10,TIME,-5.3,-1378.0,-520.0,False,False,,0,11150.0,4,0.188,21.45,39.85,11250.0,6,0.094,9.5,13.2,10750.0,-4,-0.174,21.5,5.35,10650.0,-6,-0.091,10.0,3.25
2020-08-05,11:00,bearish,23.645,17.949,1.317,11174.1,2020-08-06,22.9,11.45,-45.8,15:10,TIME,0.45,117.0,-403.0,False,False,,0,11300.0,3,0.204,17.1,5.15,11400.0,5,0.059,3.6,2.3,11050.0,-2,-0.199,16.7,29.8,10950.0,-4,-0.092,7.3,10.2
2020-08-06,09:45,bearish,37.592,17.554,2.142,11165.2999,2020-08-06,15.55,7.77,-31.1,13:44,TP,8.65,2249.0,1846.0,False,False,,0,11250.0,2,0.181,10.1,7.7,11300.0,3,0.073,3.45,1.2,11050.0,-2,-0.186,12.3,0.8,10950.0,-4,-0.061,3.4,0.4
2020-08-12,09:45,bearish,21.825,15.073,1.448,11283.2,2020-08-13,21.15,10.57,-42.3,15:10,TIME,6.5,1690.0,3536.0,False,False,,0,11400.0,2,0.19,13.7,14.1,11500.0,4,0.069,4.4,2.65,11150.0,-3,-0.2,18.1,6.5,11050.0,-5,-0.081,6.25,3.3
2020-08-13,09:45,bearish,27.045,15.192,1.78,11356.1,2020-08-13,20.75,10.38,-41.5,14:52,TP,10.55,2743.0,6279.0,False,False,,0,11400.0,1,0.28,12.8,0.15,11450.0,2,0.088,2.8,0.1,11300.0,-1,-0.252,12.8,10.35,11200.0,-3,-0.051,2.05,0.2
2020-08-17,09:45,bearish,24.695,14.608,1.69,11149.1,2020-08-20,39.35,19.68,-78.7,15:10,TIME,3.3,858.0,7137.0,False,True,buy_pe,23,11350.0,4,0.212,29.0,38.8,11500.0,7,0.077,8.4,8.8,10900.0,-5,-0.189,30.5,11.4,10700.0,-9,-0.079,11.75,5.35
2020-08-18,09:45,bearish,19.818,14.496,1.367,11316.8999,2020-08-20,29.95,14.98,-59.9,15:10,TIME,-0.95,-247.0,6890.0,False,False,,0,11450.0,3,0.187,15.0,32.95,11550.0,5,0.06,3.9,8.75,11150.0,-3,-0.219,27.95,12.85,10950.0,-7,-0.077,9.1,6.15
2020-08-19,09:45,bearish,20.027,14.339,1.397,11443.0,2020-08-20,17.3,8.65,-34.6,15:10,TIME,5.85,1521.0,8411.0,False,False,,0,11550.0,2,0.175,10.65,3.8,11600.0,3,0.091,4.95,2.05,11300.0,-3,-0.192,17.8,13.85,11150.0,-6,-0.07,6.2,4.15
2020-08-20,09:45,bearish,28.099,14.295,1.966,11339.1,2020-08-20,9.85,4.92,-19.7,13:02,TP,5.15,1339.0,9750.0,False,False,,0,11400.0,1,0.175,6.1,2.05,11450.0,2,0.058,1.75,0.65,11250.0,-2,-0.163,7.9,4.65,11200.0,-3,-0.061,2.4,1.35
2020-08-25,10:37,bearish,19.17,14.589,1.314,11466.7999,2020-08-27,25.45,12.72,-50.9,15:10,TIME,9.15,2379.0,12129.0,False,False,,0,11600.0,3,0.196,16.6,10.75,11700.0,5,0.064,4.3,3.2,11300.0,-3,-0.197,22.2,15.35,11150.0,-6,-0.084,9.05,6.6
2020-08-26,09:45,bearish,19.352,13.702,1.412,11497.0,2020-08-27,14.9,7.45,-29.8,15:10,TIME,0.9,234.0,12363.0,False,False,,0,11600.0,2,0.176,10.35,19.0,11650.0,3,0.086,4.4,7.2,11350.0,-3,-0.179,15.8,5.65,11250.0,-5,-0.083,6.85,3.45
2020-08-27,09:45,bearish,25.299,13.389,1.89,11589.7,2020-08-27,9.6,4.8,-19.2,13:14,TP,5.2,1352.0,13715.0,False,False,,0,11650.0,1,0.185,6.75,2.15,11700.0,2,0.051,1.45,0.4,11500.0,-2,-0.154,7.15,4.05,11450.0,-3,-0.068,2.85,1.4
2020-08-31,09:45,bearish,17.906,12.849,1.394,11763.2,2020-09-03,32.85,16.43,-65.7,13:21,SL,-66.65,-17329.0,-3614.0,False,True,buy_ce,18,11900.0,3,0.229,23.55,7.75,12050.0,6,0.07,6.0,3.95,11550.0,-4,-0.191,26.6,163.9,11350.0,-8,-0.082,11.3,68.2
2020-09-01,09:45,bearish,26.848,15.167,1.77,11487.2999,2020-09-03,35.3,17.65,-70.6,15:02,TP,17.75,4615.0,1001.0,False,False,,21,11700.0,4,0.196,26.15,9.25,11850.0,7,0.084,9.9,3.65,11250.0,-5,-0.194,30.65,19.9,11000.0,-10,-0.074,11.6,7.95
2020-09-02,09:45,bearish,23.929,14.523,1.648,11503.7999,2020-09-03,23.8,11.9,-47.6,15:05,TP,12.3,3198.0,4199.0,False,False,,0,11650.0,3,0.158,11.9,9.9,11750.0,5,0.064,4.45,2.6,11350.0,-3,-0.212,23.9,7.6,11150.0,-7,-0.07,7.55,3.4
