trade_date,scan_date,long_stock,long_rsi,long_rsi_ma,long_rs,long_entry_price,long_exit_price,long_pnl_pct,long_pnl_inr,short_stock,short_rsi,short_rsi_ma,short_rs,short_entry_price,short_exit_price,short_pnl_pct,short_pnl_inr,combined_pnl_pct,combined_pnl_inr,exit_time,exit_reason
2023-02-10,2023-02-09,INFY,64.7,55.82,0.008719,1612.95,1608.25,-0.291,-4.7,CIPLA,39.14,41.57,-0.012608,1021.0,1025.85,-0.475,-4.85,-0.766,-9.55,09:15,SL
2023-02-13,2023-02-10,ULTRACEMCO,57.87,51.24,0.006204,7215.0,7243.0,0.388,28.0,UNIONBANK,38.14,38.6,-0.00613,73.9,73.35,0.744,0.55,1.132,28.55,09:17,TP
2023-02-14,2023-02-13,ZYDUSLIFE,68.03,61.4,0.009859,473.8,468.5,-1.119,-5.3,UNIONBANK,33.03,37.33,-0.011701,71.5,71.45,0.07,0.05,-1.049,-5.25,09:16,SL
2023-02-15,2023-02-14,HDFCBANK,58.38,51.12,0.002886,839.0,835.25,-0.447,-3.75,TATASTEEL,31.3,42.46,0.004094,109.0,109.5,-0.459,-0.5,-0.906,-4.25,09:15,SL
2023-02-16,2023-02-15,TECHM,64.75,49.2,0.045104,1075.0,1090.9,1.479,15.9,SUNPHARMA,42.3,51.93,-0.010382,998.9,1000.0,-0.11,-1.1,1.369,14.8,09:16,TP
2023-02-17,2023-02-16,NESTLEIND,61.53,42.44,0.024253,978.75,957.0,-2.222,-21.75,SUNPHARMA,41.74,50.21,-0.004927,992.2,987.7,0.454,4.5,-1.769,-17.25,09:15,SL
2023-02-20,2023-02-17,GODREJCP,65.28,62.32,0.023568,947.65,944.95,-0.285,-2.7,SUNPHARMA,38.05,47.97,-0.009915,990.15,976.8,1.348,13.35,1.063,10.65,09:16,TP
2023-02-21,2023-02-20,TORNTPOWER,67.02,47.21,0.01689,513.0,514.25,0.244,1.25,BANKBARODA,41.36,42.22,-0.005116,164.5,163.0,0.912,1.5,1.156,2.75,09:15,TP
2023-02-22,2023-02-21,TORNTPOWER,68.91,49.71,0.018103,496.0,500.2,0.847,4.2,CANBK,33.19,37.69,-0.019248,55.6,55.35,0.45,0.25,1.296,4.45,09:15,TP
2023-02-23,2023-02-22,TORNTPOWER,55.94,51.14,0.007577,493.0,494.6,0.325,1.6,AMBUJACEM,30.65,30.95,-0.007471,336.0,333.2,0.833,2.8,1.158,4.4,09:15,TP
2023-02-24,2023-02-23,TORNTPOWER,58.35,52.77,0.008006,503.2,501.75,-0.288,-1.45,TATACONSUM,37.05,37.91,-0.004811,717.0,721.05,-0.565,-4.05,-0.853,-5.5,09:39,SL
2023-02-27,2023-02-24,TECHM,66.31,60.57,-0.001143,1109.0,1098.45,-0.951,-10.55,PNB,32.04,36.72,-0.012148,47.5,47.45,0.105,0.05,-0.846,-10.5,09:22,SL
2023-02-28,2023-02-27,TORNTPOWER,57.56,55.34,0.00388,503.1,506.25,0.626,3.15,NESTLEIND,37.37,42.55,-0.007024,931.5,927.9,0.386,3.6,1.013,6.75,09:53,TP
2023-03-01,2023-02-28,TORNTPOWER,59.37,56.65,-0.001405,506.35,504.05,-0.454,-2.3,DRREDDY,39.22,63.84,-0.01528,863.3,866.65,-0.388,-3.35,-0.842,-5.65,09:39,SL
2023-03-02,2023-03-01,TECHM,64.81,64.05,0.008418,1120.0,1120.0,0.0,0.0,M&M,36.92,49.75,-0.018128,1278.55,1265.45,1.025,13.1,1.025,13.1,09:16,TP
2023-03-03,2023-03-02,TORNTPOWER,63.1,59.49,0.016827,518.5,516.25,-0.434,-2.25,KOTAKBANK,41.79,42.65,-0.009741,346.4,347.5,-0.318,-1.1,-0.751,-3.35,10:17,SL
2023-03-06,2023-03-03,CANBK,58.0,39.68,0.00917,61.35,61.1,-0.407,-0.25,TCS,42.28,50.17,-0.002417,3361.9,3379.5,-0.524,-17.6,-0.931,-17.85,09:21,SL
2023-03-08,2023-03-06,TORNTPOWER,63.73,61.93,0.008428,519.0,520.05,0.202,1.05,TATASTEEL,37.16,37.54,-0.010011,105.3,104.2,1.045,1.1,1.247,2.15,09:15,TP
2023-03-09,2023-03-08,CANBK,61.7,42.46,0.008629,62.35,62.4,0.08,0.05,DIVISLAB,37.4,38.11,-0.005172,2838.45,2862.05,-0.831,-23.6,-0.751,-23.55,09:21,SL
2023-03-10,2023-03-09,TORNTPOWER,67.5,62.16,0.005168,528.0,531.15,0.597,3.15,SBILIFE,36.48,39.2,-0.008001,1093.0,1087.6,0.494,5.4,1.091,8.55,09:21,TP
2023-03-13,2023-03-10,ZYDUSLIFE,59.49,58.0,0.002094,477.3,475.15,-0.45,-2.15,DIVISLAB,33.46,38.16,-0.014103,2788.0,2797.25,-0.332,-9.25,-0.782,-11.4,09:17,SL
2023-03-14,2023-03-13,TECHM,62.15,59.55,0.004941,1128.0,1123.65,-0.386,-4.35,SBIN,41.37,43.26,-0.013583,527.65,529.7,-0.389,-2.05,-0.774,-6.4,09:29,SL
2023-03-15,2023-03-14,TORNTPOWER,62.98,61.81,-0.011829,528.65,532.9,0.804,4.25,HDFCLIFE,31.25,35.61,-0.019101,473.05,471.75,0.275,1.3,1.079,5.55,10:19,TP
2023-03-16,2023-03-15,TORNTPOWER,67.18,62.61,0.016016,534.3,537.25,0.552,2.95,CANBK,40.02,46.24,-0.016255,56.0,55.7,0.536,0.3,1.088,3.25,09:15,TP
2023-03-17,2023-03-16,GODREJCP,56.3,47.48,0.013734,934.0,927.0,-0.749,-7.0,HCLTECH,37.01,48.25,-0.011413,1088.2,1090.4,-0.202,-2.2,-0.952,-9.2,09:16,SL
2023-03-20,2023-03-17,ULTRACEMCO,57.06,51.94,0.006252,7275.0,7204.8,-0.965,-70.2,MARUTI,33.29,44.39,-0.019927,8316.85,8150.55,2.0,166.3,1.035,96.1,10:08,TP
2023-03-21,2023-03-20,ZYDUSLIFE,57.76,57.17,0.006987,478.6,473.65,-1.034,-4.95,SBIN,39.85,46.18,-0.006407,522.0,520.7,0.249,1.3,-0.785,-3.65,10:12,SL
2023-03-22,2023-03-21,ULTRACEMCO,59.59,52.18,0.003262,7360.0,7396.0,0.489,36.0,DIVISLAB,36.36,36.47,-0.007245,2775.0,2791.95,-0.611,-16.95,-0.122,19.05,15:29,EOD
2023-03-23,2023-03-22,DRREDDY,57.27,50.19,0.004509,895.0,894.95,-0.006,-0.05,UNIONBANK,40.66,41.34,-0.008404,65.5,64.8,1.069,0.7,1.063,0.65,09:15,TP
2023-03-24,2023-03-23,ZYDUSLIFE,60.68,57.75,0.00937,483.5,480.4,-0.641,-3.1,CANBK,41.74,47.99,-0.013693,55.95,56.25,-0.536,-0.3,-1.177,-3.4,09:17,SL
2023-03-27,2023-03-24,GODREJCP,56.89,52.53,0.010521,950.05,950.75,0.074,0.7,UNIONBANK,34.34,40.53,-0.022219,63.5,62.85,1.024,0.65,1.097,1.35,09:20,TP
2023-03-28,2023-03-27,GODREJCP,60.82,53.6,0.008604,963.75,954.35,-0.975,-9.4,IOC,39.82,50.87,-0.011345,76.9,76.75,0.195,0.15,-0.78,-9.25,12:34,SL
2023-03-29,2023-03-28,SUNPHARMA,56.07,43.78,0.004131,985.65,985.0,-0.066,-0.65,HCLTECH,33.74,43.26,-0.015489,1046.0,1053.25,-0.693,-7.25,-0.759,-7.9,12:06,SL
2023-03-31,2023-03-29,HINDUNILVR,57.75,43.93,0.0058,2558.8,2545.75,-0.51,-13.05,IOC,41.95,49.43,-0.009446,77.3,77.65,-0.453,-0.35,-0.963,-13.4,09:16,SL
2023-04-03,2023-03-31,HINDUNILVR,61.71,45.79,0.009477,2570.0,2549.55,-0.796,-20.45,JINDALSTEL,41.6,43.12,-0.011757,547.9,548.25,-0.064,-0.35,-0.86,-20.8,09:16,SL
2023-04-05,2023-04-03,ICICIBANK,64.16,48.87,0.012593,886.6,878.35,-0.931,-8.25,BPCL,43.63,60.26,-0.017036,165.95,165.8,0.09,0.15,-0.84,-8.1,09:15,SL
2023-04-06,2023-04-05,HINDUNILVR,63.06,49.6,0.015292,2575.0,2562.0,-0.505,-13.0,IOC,42.92,48.96,-0.006536,77.15,77.4,-0.324,-0.25,-0.829,-13.25,09:25,SL
2023-04-10,2023-04-06,TATACONSUM,62.65,46.91,0.00672,727.0,727.6,0.083,0.6,JINDALSTEL,40.67,41.57,-0.002082,548.7,553.8,-0.929,-5.1,-0.847,-4.5,09:29,SL
2023-04-17,2023-04-13,UNIONBANK,56.94,45.19,0.020573,69.7,70.4,1.004,0.7,IOC,44.05,46.1,-0.003029,77.2,77.1,0.13,0.1,1.134,0.8,11:23,TP
2023-04-18,2023-04-17,UNIONBANK,64.42,46.89,0.036918,73.55,73.5,-0.068,-0.05,TECHM,34.82,49.98,-0.003649,1034.8,1022.9,1.15,11.9,1.082,11.85,09:21,TP
2023-04-19,2023-04-18,CIPLA,58.34,46.63,0.024425,925.95,912.8,-1.42,-13.15,TCS,39.03,41.78,0.003773,3130.75,3089.0,1.334,41.75,-0.087,28.6,15:29,EOD
2023-04-20,2023-04-19,BPCL,55.98,50.13,0.02253,171.95,170.95,-0.582,-1.0,HCLTECH,39.5,46.39,-0.006965,1040.0,1043.55,-0.341,-3.55,-0.923,-4.55,09:25,SL
2023-04-21,2023-04-20,SBIN,58.48,50.72,0.007479,545.0,545.55,0.101,0.55,HCLTECH,39.02,46.58,-0.004673,1054.0,1065.9,-1.129,-11.9,-1.028,-11.35,09:15,SL
2023-04-24,2023-04-21,GODREJCP,67.39,61.21,0.011244,989.15,983.3,-0.591,-5.85,ULTRACEMCO,42.41,64.16,-0.002586,7350.0,7367.75,-0.241,-17.75,-0.833,-23.6,09:24,SL
2023-04-25,2023-04-24,UNIONBANK,62.97,55.71,0.022294,74.3,75.05,1.009,0.75,HCLTECH,44.88,47.25,-0.006848,1050.45,1050.05,0.038,0.4,1.048,1.15,09:32,TP
2023-04-26,2023-04-25,TATACONSUM,62.62,53.13,0.003383,733.95,726.4,-1.029,-7.55,TECHM,32.27,42.6,-0.001722,997.0,999.1,-0.211,-2.1,-1.239,-9.65,09:15,SL
2023-04-27,2023-04-26,TATACONSUM,67.06,53.95,0.014764,743.0,747.6,0.619,4.6,TECHM,31.91,41.05,-0.004866,999.0,995.0,0.4,4.0,1.02,8.6,09:26,TP
2023-04-28,2023-04-27,IOC,64.73,50.21,0.007026,80.95,81.3,0.432,0.35,HINDUNILVR,42.47,50.78,-0.011292,2436.05,2458.0,-0.901,-21.95,-0.469,-21.6,15:29,EOD
2023-05-02,2023-04-28,ICICIBANK,69.51,63.72,0.000346,924.0,920.05,-0.427,-3.95,GODREJCP,34.07,57.35,-0.01879,911.95,915.0,-0.334,-3.05,-0.762,-7.0,09:51,SL
2023-05-03,2023-05-02,TATASTEEL,64.03,53.84,0.009697,109.8,110.95,1.047,1.15,SUNPHARMA,43.59,51.6,-0.007361,970.5,970.65,-0.015,-0.15,1.032,1.0,09:15,TP
2023-05-04,2023-05-03,HDFCBANK,62.91,61.95,0.005321,843.55,853.45,1.174,9.9,SUNPHARMA,39.71,49.87,-0.002671,967.65,968.0,-0.036,-0.35,1.137,9.55,10:44,TP
2023-05-05,2023-05-04,HDFCBANK,69.82,62.03,0.006868,819.5,827.6,0.988,8.1,GODREJCP,42.99,53.58,-0.003708,934.95,928.85,0.652,6.1,1.641,14.2,09:15,TP
2023-05-08,2023-05-05,AMBUJACEM,60.02,53.98,0.022756,404.8,402.25,-0.63,-2.55,HDFCBANK,44.04,60.15,-0.003434,817.5,819.65,-0.263,-2.15,-0.893,-4.7,09:16,SL
2023-05-09,2023-05-08,CIPLA,59.05,53.58,0.010069,935.0,934.95,-0.005,-0.05,SUNPHARMA,40.83,46.33,-0.00637,961.9,952.15,1.014,9.75,1.008,9.7,09:32,TP
2023-05-10,2023-05-09,TCS,62.12,49.33,0.016017,3290.0,3279.0,-0.334,-11.0,SUNPHARMA,38.86,44.94,0.008717,957.0,954.0,0.313,3.0,-0.021,-8.0,15:29,EOD
2023-05-11,2023-05-10,CIPLA,63.33,54.58,0.007686,946.45,936.85,-1.014,-9.6,UNIONBANK,44.78,60.81,-0.009891,71.2,71.1,0.14,0.1,-0.874,-9.5,09:38,SL
2023-05-12,2023-05-11,HINDUNILVR,64.84,48.73,0.020944,2594.0,2623.95,1.155,29.95,PNB,43.38,60.4,-0.00796,48.5,48.55,-0.103,-0.05,1.051,29.9,11:16,TP
2023-05-15,2023-05-12,GODREJCP,63.9,50.23,0.012315,1002.5,1009.45,0.693,6.95,SUNPHARMA,39.13,42.72,-0.010648,953.0,950.0,0.315,3.0,1.008,9.95,09:28,TP
2023-05-16,2023-05-15,WIPRO,60.08,57.27,0.003531,193.75,193.45,-0.155,-0.3,JSWSTEEL,44.19,58.46,-0.002177,710.45,702.1,1.175,8.35,1.02,8.05,11:23,TP
2023-05-17,2023-05-16,BANKBARODA,65.19,63.0,0.018388,188.7,189.7,0.53,1.0,TORNTPOWER,44.53,54.03,-0.008558,530.0,527.0,0.566,3.0,1.096,4.0,09:23,TP
2023-05-18,2023-05-17,LTIM,63.71,55.35,0.00682,4749.8,4754.25,0.094,4.45,JINDALSTEL,30.85,53.9,-0.017604,532.5,537.95,-1.023,-5.45,-0.93,-1.0,09:19,SL
2023-05-19,2023-05-18,HINDUNILVR,63.11,57.06,-0.000294,2628.65,2616.55,-0.46,-12.1,CANBK,43.94,57.91,-0.018413,59.4,58.45,1.599,0.95,1.139,-11.15,09:41,TP
2023-05-22,2023-05-19,HINDUNILVR,64.87,58.78,0.002529,2635.0,2629.25,-0.218,-5.75,DIVISLAB,40.01,61.81,-0.018806,3099.95,3131.95,-1.032,-32.0,-1.25,-37.75,09:17,SL
2023-05-23,2023-05-22,TECHM,66.92,51.61,0.020018,1104.0,1117.65,1.236,13.65,DRREDDY,34.41,46.43,-0.002522,891.6,892.05,-0.05,-0.45,1.186,13.2,09:43,TP
2023-05-24,2023-05-23,CIPLA,55.62,54.85,0.00541,923.5,931.65,0.883,8.15,SUNPHARMA,34.77,37.7,-0.006409,935.5,934.1,0.15,1.4,1.032,9.55,09:25,TP
2023-05-25,2023-05-24,DIVISLAB,62.16,60.28,0.015505,3371.05,3418.45,1.406,47.4,JSWSTEEL,42.11,47.04,-0.00778,693.0,695.65,-0.382,-2.65,1.024,44.75,10:52,TP
2023-05-26,2023-05-25,LTIM,66.31,62.45,0.013957,4925.0,4980.0,1.117,55.0,JSWSTEEL,41.57,45.54,-0.002734,696.65,697.1,-0.065,-0.45,1.052,54.55,09:25,TP
2023-05-29,2023-05-26,HDFCLIFE,67.43,63.3,0.00492,577.3,583.4,1.057,6.1,HDFCBANK,41.27,46.81,0.003097,814.25,813.6,0.08,0.65,1.136,6.75,09:17,TP
2023-06-01,2023-05-31,TECHM,65.44,59.04,0.009936,1122.0,1134.9,1.15,12.9,ZYDUSLIFE,43.71,49.6,-0.003017,502.3,503.0,-0.139,-0.7,1.01,12.2,09:44,TP
2023-06-02,2023-06-01,CIPLA,66.11,56.97,0.018959,965.9,965.0,-0.093,-0.9,HDFCBANK,39.11,45.11,-0.004046,806.2,802.5,0.459,3.7,0.366,2.8,15:29,EOD
2023-06-05,2023-06-02,SUNPHARMA,65.16,45.14,0.017786,1005.35,1014.45,0.905,9.1,HDFCBANK,40.5,44.11,-0.002568,807.25,805.8,0.18,1.45,1.085,10.55,10:40,TP
2023-06-06,2023-06-05,TORNTPOWER,69.16,56.73,0.021464,589.85,594.55,0.797,4.7,HDFCBANK,40.26,43.59,-0.004615,803.8,801.75,0.255,2.05,1.052,6.75,09:41,TP
2023-06-07,2023-06-06,CANBK,60.45,53.61,0.004986,62.6,63.2,0.958,0.6,TCS,44.93,56.44,-0.002786,3253.0,3248.45,0.14,4.55,1.098,5.15,10:35,TP
2023-06-09,2023-06-08,NESTLEIND,62.67,60.48,0.006767,1105.05,1110.1,0.457,5.05,KOTAKBANK,43.57,55.73,-0.002972,372.4,377.0,-1.235,-4.6,-0.778,0.45,09:15,SL
2023-06-12,2023-06-09,AMBUJACEM,69.56,66.65,0.005318,456.0,454.0,-0.439,-2.0,TECHM,43.0,58.98,-6.3e-05,1066.0,1069.5,-0.328,-3.5,-0.767,-5.5,09:25,SL
2023-06-13,2023-06-12,BPCL,60.45,54.1,0.017135,187.25,187.5,0.134,0.25,HDFCBANK,39.79,41.9,-0.003877,795.05,802.6,-0.95,-7.55,-0.816,-7.3,09:24,SL
2023-06-14,2023-06-13,CIPLA,66.41,64.34,0.010138,981.5,976.1,-0.55,-5.4,KOTAKBANK,39.2,52.76,-0.005434,371.2,372.0,-0.216,-0.8,-0.766,-6.2,09:17,SL
2023-06-15,2023-06-14,ZYDUSLIFE,64.57,52.24,0.026097,535.0,540.4,1.009,5.4,HDFCBANK,41.16,42.2,-0.006075,802.0,801.85,0.019,0.15,1.028,5.55,09:46,TP
2023-06-16,2023-06-15,GODREJCP,67.12,66.54,0.008851,1082.0,1066.4,-1.442,-15.6,CANBK,38.68,56.93,-0.01204,59.7,59.75,-0.084,-0.05,-1.526,-15.65,09:16,SL
2023-06-19,2023-06-16,HDFCLIFE,68.08,62.77,0.024333,609.95,611.9,0.32,1.95,WIPRO,35.66,57.93,-0.015162,191.0,189.7,0.681,1.3,1.0,3.25,12:55,TP
2023-06-20,2023-06-19,SUNPHARMA,60.27,59.55,0.00359,1007.65,997.15,-1.042,-10.5,ICICIBANK,41.99,52.59,0.001282,920.95,918.6,0.255,2.35,-0.787,-8.15,09:20,SL
2023-06-21,2023-06-20,HCLTECH,65.63,59.5,0.011336,1175.0,1170.55,-0.379,-4.45,WIPRO,40.09,53.56,-0.008066,192.1,193.1,-0.521,-1.0,-0.899,-5.45,09:21,SL
