symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
HBLENGINE,2025-11-08,2025-11-07,998.8,2025-11-10,2025-11-11 14:58,998.8,50,2025-11-21 14:55,898.92,55,946.48,804.51,1088.45,2025-12-05 12:01,804.51,SL,-14907.09,-15.0,24
NEULANDLAB,2025-11-07,2025-11-07,18100.0,2025-11-10,2025-11-10 10:11,18100.0,2,2025-11-24 09:15,16290.0,3,17014.0,14461.9,19566.1,2026-01-06 15:09,14461.9,SL,-12760.5,-15.0,57
NAVINFLUOR,2025-10-30,2025-10-30,5014.0,2025-10-31,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
CGCL,2025-10-29,2025-10-29,210.21,2025-10-30,2025-10-30 09:15,209.08,239,2025-11-25 14:57,188.17,265,198.09,168.37,227.8,2026-01-21 10:30,168.22,SL,-15052.82,-15.078,83
CARTRADE,2025-10-28,2025-10-28,3180.0,2025-10-29,2025-10-29 09:15,3074.0,16,2025-12-08 14:57,2766.6,18,2911.26,2474.57,3347.95,2026-01-21 09:15,2474.57,SL,-14847.42,-15.0,84
SAGILITY,2025-10-29,2025-10-29,51.6,2025-10-30,2025-11-04 09:16,51.6,968,2026-02-16 09:16,46.44,1076,48.88,41.55,56.22,2026-02-26 11:45,41.55,SL,-14987.74,-15.0,114
AARTIIND,2025-11-06,2025-11-06,392.0,2025-11-07,2025-11-07 15:19,392.0,127,2025-12-08 13:24,352.8,141,371.38,315.67,427.08,2026-02-03 09:15,443.0,TP,19195.2,19.286,88
SAILIFE,2025-11-06,2025-11-06,930.0,2025-11-07,2025-11-07 09:15,922.3,54,2026-01-20 13:40,830.07,60,873.76,742.69,1004.82,2026-03-02 09:15,1004.82,TP,14941.26,15.0,115
INTELLECT,2025-10-31,2025-10-31,1144.5,2025-11-03,2025-11-03 09:15,1128.9,44,2025-12-09 09:18,1016.01,49,1069.42,909.01,1229.83,2026-01-12 09:16,909.01,SL,-14918.41,-15.0,70
HINDCOPPER,2025-11-11,2025-11-11,365.35,2025-11-12,2025-11-12 09:15,359.9,138,2025-11-20 13:40,323.91,154,340.92,289.78,392.06,2025-12-22 09:15,394.5,TP,15645.66,15.717,40
SYRMA,2025-11-10,2025-11-10,814.6,2025-11-11,2025-11-11 09:55,814.6,61,2025-12-08 12:32,733.14,68,771.66,655.91,887.41,2026-01-20 13:04,655.91,SL,-14931.62,-15.0,70
AEGISLOG,2025-11-07,2025-11-07,786.5,2025-11-10,2025-11-10 09:15,769.0,65,2026-01-19 10:05,692.1,72,728.59,619.3,837.87,2026-03-11 13:16,619.3,SL,-14972.43,-15.0,121
