symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
IIFL,2026-01-22,2026-01-22,637.0,2026-01-23,2026-01-23 09:15,550.0,90,2026-02-01 12:29,495.0,101,520.92,442.78,599.05,2026-03-24 11:31,442.78,SL,-14924.25,-15.0,60
CRAFTSMAN,2026-01-28,2026-01-28,7930.0,2026-01-29,2026-01-29 09:15,7780.0,6,2026-03-13 09:43,7002.0,7,7361.08,6256.92,8465.24,2026-04-13 15:29,7385.0,TIME,311.0,0.325,74
POONAWALLA,2026-01-16,2026-01-16,482.0,2026-01-19,2026-01-19 09:15,476.5,104,2026-01-23 10:18,428.85,116,451.38,383.67,519.08,2026-02-01 12:29,383.67,SL,-14895.39,-15.0,13
ENGINERSIN,2026-02-12,2026-02-12,185.19,2026-02-13,2026-03-13 15:18,185.19,269,,0.0,0,185.19,157.41,212.97,2026-04-10 09:16,213.1,TP,7507.79,15.071,28
AARTIIND,2026-02-02,2026-02-02,375.1,2026-02-03,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
NAVINFLUOR,2026-02-09,2026-02-09,6634.5,2026-02-10,2026-02-10 09:46,6634.5,7,2026-03-02 09:15,5960.0,8,6274.77,5333.55,7215.98,2026-04-24 15:29,6473.0,TIME,2973.5,3.159,73
SYRMA,2026-01-29,2026-01-29,736.1,2026-01-30,2026-02-01 12:31,736.1,67,,0.0,0,736.1,625.69,846.51,2026-02-03 09:15,850.0,TP,7631.3,15.473,2
CHOICEIN,2026-02-03,2026-02-03,788.0,2026-02-04,2026-02-04 09:17,788.0,63,2026-03-02 12:52,709.2,70,746.53,634.55,858.51,2026-03-13 12:32,634.55,SL,-14893.2,-15.0,37
SAILIFE,2026-02-05,2026-02-05,815.0,2026-02-06,,0.0,0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
RRKABEL,2026-01-31,2026-01-30,1382.0,2026-02-01,2026-02-01 09:15,1380.0,36,,0.0,0,1380.0,1173.0,1587.0,2026-04-16 15:29,1460.0,TIME,2880.0,5.797,74
ECLERX,2026-01-28,2026-01-28,2258.5,2026-01-29,2026-01-29 09:15,2211.0,22,2026-02-10 11:54,1989.9,25,2093.39,1779.38,2407.4,2026-02-13 10:19,1779.38,SL,-14758.43,-15.0,15
TARIL,2026-01-08,2026-01-08,326.6,2026-01-09,2026-01-09 09:15,299.5,166,2026-01-12 09:15,269.55,185,283.71,241.16,326.27,2026-01-20 15:16,241.16,SL,-14937.56,-15.0,11
