ticker,result_date,pdf_file,size,source,status
EMMVEE,2026-04-28,EMMVEE_20260428.pdf,5.51MB,BSE,OK
NEULANDLAB,2026-05-12,NEULANDLAB_20260512.pdf,1.65MB,BSE,OK
RAILTEL,2026-04-30,RAILTEL_20260430.pdf,1.52MB,BSE,OK
NAVINFLUOR,2026-04-29,NAVINFLUOR_20260429.pdf,13.32MB,NSE,OK
VIJAYA,2026-05-07,VIJAYA_20260507.pdf,3.85MB,BSE,OK
ANGELONE,2026-04-16,ANGELONE_20260416.pdf,22.05MB,BSE,OK
CRAFTSMAN,2026-05-07,CRAFTSMAN_20260507.pdf,7.63MB,BSE,OK
SHYAMMETL,2026-05-11,SHYAMMETL_20260511.pdf,7.51MB,BSE,OK
MINDACORP,2026-05-22,MINDACORP_20260522.pdf,9.61MB,BSE,OK
SBFC,2026-04-25,SBFC_20260425.pdf,9.39MB,BSE,OK
CGCL,2026-04-30,CGCL_20260430.pdf,9.49MB,NSE,OK
HFCL,2026-04-30,HFCL_20260430.pdf,3.70MB,BSE,OK
IIFL,2026-04-29,IIFL_20260429.pdf,13.12MB,BSE,OK
POONAWALLA,2026-05-05,POONAWALLA_20260505.pdf,11.98MB,BSE,OK
NSLNISP,2026-05-29,NSLNISP_20260529.pdf,2.79MB,BSE,OK
