symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
EMMVEE,2026-04-28,2026-04-28,276.59,2026-04-29,2026-04-30 09:29,276.59,180,,0.0,0,276.59,0.0,318.08,2026-05-29 09:15,318.08,TP,7467.93,15.0,29
NEULANDLAB,2026-05-12,2026-05-12,17753.0,2026-05-13,2026-05-13 09:15,17753.0,2,,0.0,0,17753.0,0.0,20415.95,2026-06-25 15:29,17968.0,OPEN,430.0,1.211,43
RAILTEL,2026-04-30,2026-04-30,326.0,2026-05-04,2026-05-12 09:27,326.0,153,,0.0,0,326.0,0.0,374.9,2026-06-25 15:29,313.1,OPEN,-1973.7,-3.957,44
NAVINFLUOR,2026-04-29,2026-04-29,6816.0,2026-04-30,2026-04-30 09:52,6816.0,7,,0.0,0,6816.0,0.0,7838.4,2026-06-25 15:29,7621.0,OPEN,5635.0,11.81,56
VIJAYA,2026-05-07,2026-05-07,1224.0,2026-05-08,2026-05-08 09:22,1224.0,40,,0.0,0,1224.0,0.0,1407.6,2026-06-05 09:22,1407.6,TP,7344.0,15.0,28
ANGELONE,2026-04-16,2026-04-16,301.5,2026-04-17,2026-04-17 09:15,301.5,165,,0.0,0,301.5,0.0,346.72,2026-05-25 09:36,346.72,TP,7462.12,15.0,38
CRAFTSMAN,2026-05-07,2026-05-07,8780.0,2026-05-08,2026-05-08 09:15,8657.5,5,,0.0,0,8657.5,0.0,9956.12,2026-06-25 15:29,9252.0,OPEN,2972.5,6.867,48
SHYAMMETL,2026-05-11,2026-05-11,934.9,2026-05-12,2026-05-12 09:15,878.25,56,,0.0,0,878.25,0.0,1009.99,2026-06-04 13:09,1009.99,TP,7377.3,15.0,23
MINDACORP,2026-05-22,2026-05-22,590.0,2026-05-25,2026-05-25 09:15,585.0,85,,0.0,0,585.0,0.0,672.75,2026-06-15 10:34,672.75,TP,7458.75,15.0,21
SBFC,2026-04-25,2026-04-24,96.75,2026-04-27,2026-04-27 09:15,96.75,516,,0.0,0,96.75,0.0,111.26,2026-06-25 15:29,90.85,OPEN,-3044.4,-6.098,59
CGCL,2026-04-30,2026-04-30,188.5,2026-05-04,2026-05-04 09:15,188.5,265,,0.0,0,188.5,0.0,216.77,2026-06-15 09:15,216.77,TP,7492.87,15.0,42
HFCL,2026-04-30,2026-04-30,119.5,2026-05-04,2026-05-04 09:37,119.5,418,,0.0,0,119.5,0.0,137.42,2026-05-06 12:14,137.42,TP,7492.65,15.0,2
IIFL,2026-04-29,2026-04-29,453.3,2026-04-30,2026-04-30 09:19,453.3,110,,0.0,0,453.3,0.0,521.29,2026-06-04 10:07,521.29,TP,7479.45,15.0,35
POONAWALLA,2026-05-05,2026-05-05,442.55,2026-05-06,2026-05-06 12:23,442.55,112,,0.0,0,442.55,0.0,508.93,2026-06-25 15:29,439.5,OPEN,-341.6,-0.689,50
NSLNISP,2026-05-29,2026-05-29,46.57,2026-06-01,2026-06-11 09:16,46.57,1073,,0.0,0,46.57,0.0,53.56,2026-06-25 15:29,43.7,OPEN,-3079.51,-6.163,14
