symbol,earning_date,leg,breakout_date,level,entry_time,entry_price,qty,sl_init,tp_price,locked_sl,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
EMMVEE,2026-04-28,0,,0.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_LEVEL,0.0,0.0,0
NEULANDLAB,2026-05-12,1,2025-12-03,17550.0,2026-05-13 09:16,17550.0,5,16672.5,18954.0,16672.5,2026-05-13 11:41,16672.5,SL,-4387.5,-5.0,0
NEULANDLAB,2026-05-12,2,2025-12-03,17550.0,2026-06-01 10:57,17550.0,5,16672.5,18954.0,16672.5,2026-06-08 09:15,16672.5,SL,-4387.5,-5.0,7
RAILTEL,2026-04-30,1,2026-04-16,353.9,2026-05-04 09:15,338.85,295,321.91,365.96,321.91,2026-05-12 13:29,321.91,SL,-4998.04,-5.0,8
NAVINFLUOR,2026-04-29,1,2026-02-10,6965.0,2026-04-30 09:22,6965.0,14,6616.75,7522.2,7173.95,2026-05-29 09:25,7173.95,SL,2925.3,3.0,29
VIJAYA,2026-05-07,0,2026-04-30,1135.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
ANGELONE,2026-04-16,0,2026-01-16,276.65,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
CRAFTSMAN,2026-05-07,0,2025-12-31,7837.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
SHYAMMETL,2026-05-11,1,2026-04-27,900.3,2026-05-12 09:15,878.25,113,834.34,948.51,834.34,2026-05-12 15:09,834.34,SL,-4962.11,-5.0,0
SHYAMMETL,2026-05-11,2,2026-04-27,900.3,2026-05-13 11:04,878.25,113,834.34,948.51,904.6,2026-05-22 14:51,948.51,TP,7939.38,8.0,9
MINDACORP,2026-05-22,0,2026-04-10,521.0,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
SBFC,2026-04-25,1,2026-01-28,91.64,2026-04-30 09:52,91.64,1091,87.06,98.97,94.39,2026-05-08 09:58,98.97,TP,7998.34,8.0,8
CGCL,2026-04-30,0,2026-03-10,168.99,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
HFCL,2026-04-30,0,2025-12-31,71.59,,0.0,0,0.0,0.0,0.0,,0.0,NO_ENTRY,0.0,0.0,0
IIFL,2026-04-29,1,2026-01-23,567.9,2026-04-30 09:15,460.45,217,437.43,497.29,469.66,2026-05-13 11:16,469.66,SL,1998.35,2.0,13
POONAWALLA,2026-05-05,1,2026-02-09,471.75,2026-05-06 09:15,459.0,217,436.05,495.72,436.05,2026-05-12 09:27,436.05,SL,-4980.15,-5.0,6
NSLNISP,2026-05-29,1,2026-05-13,45.94,2026-06-11 12:48,45.94,2176,43.64,49.62,46.86,2026-06-19 09:25,46.86,SL,1999.31,2.0,8
