ticker,co_code,result_date
ANGELONE,38941,2023-01-16
ANGELONE,38941,2023-04-17
ANGELONE,38941,2023-07-13
ANGELONE,38941,2023-10-12
ANGELONE,38941,2024-01-15
ANGELONE,38941,2024-04-17
ANGELONE,38941,2024-07-15
ANGELONE,38941,2024-10-14
ANGELONE,38941,2025-01-13
ANGELONE,38941,2025-04-16
ANGELONE,38941,2025-07-16
ANGELONE,38941,2025-10-15
ANGELONE,38941,2026-01-15
ANGELONE,38941,2026-04-16
CGCL,12727,2023-01-28
CGCL,12727,2023-05-22
CGCL,12727,2023-08-05
CGCL,12727,2023-10-31
CGCL,12727,2024-01-27
CGCL,12727,2024-05-08
CGCL,12727,2024-08-03
CGCL,12727,2024-10-29
CGCL,12727,2025-01-23
CGCL,12727,2025-05-05
CGCL,12727,2025-08-01
CGCL,12727,2025-10-29
CGCL,12727,2026-01-29
CGCL,12727,2026-04-30
CRAFTSMAN,27871,2023-01-23
CRAFTSMAN,27871,2023-05-08
CRAFTSMAN,27871,2023-07-24
CRAFTSMAN,27871,2023-10-30
CRAFTSMAN,27871,2024-01-27
CRAFTSMAN,27871,2024-04-27
CRAFTSMAN,27871,2024-07-24
CRAFTSMAN,27871,2024-10-23
CRAFTSMAN,27871,2025-01-29
CRAFTSMAN,27871,2025-05-07
CRAFTSMAN,27871,2025-07-29
CRAFTSMAN,27871,2025-11-08
CRAFTSMAN,27871,2026-01-28
CRAFTSMAN,27871,2026-05-07
EMMVEE,72748,2025-12-01
EMMVEE,72748,2026-04-28
HFCL,1189,2023-01-23
HFCL,1189,2023-05-08
HFCL,1189,2023-07-26
HFCL,1189,2023-10-19
HFCL,1189,2024-02-01
HFCL,1189,2024-05-03
HFCL,1189,2024-07-24
HFCL,1189,2024-10-21
HFCL,1189,2025-02-03
HFCL,1189,2025-05-22
HFCL,1189,2025-07-25
HFCL,1189,2025-10-17
HFCL,1189,2026-02-03
HFCL,1189,2026-04-30
IIFL,23296,2023-01-30
IIFL,23296,2023-04-26
IIFL,23296,2023-07-27
