symbol,result_date,result_session,marked_high,observation_start,entry1_time,entry1_price,qty1,entry2_time,entry2_price,qty2,avg_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,days_held
ANGELONE,2023-01-16,2023-01-16,132.9,2023-01-17,2023-01-17 09:15,132.5,377,2023-01-27 10:18,119.25,419,125.88,106.99,144.76,2023-02-23 09:29,106.99,SL,-14751.23,-14.763,37
ANGELONE,2023-04-17,2023-04-17,129.0,2023-04-18,2023-04-19 09:17,129.0,387,,0.0,0,129.0,109.65,148.35,2023-06-09 15:03,148.35,TP,7488.45,15.0,51
ANGELONE,2023-07-13,2023-07-13,180.0,2023-07-14,2023-07-14 09:15,174.5,286,2023-07-18 09:15,157.05,318,165.78,140.91,190.64,2023-09-01 09:15,190.64,TP,15298.41,15.322,49
ANGELONE,2023-10-12,2023-10-12,214.5,2023-10-13,2023-10-13 12:58,214.5,233,,0.0,0,214.5,182.32,246.67,2023-10-27 09:18,246.67,TP,7496.77,15.0,14
ANGELONE,2024-01-15,2024-01-15,389.5,2024-01-16,2024-01-16 09:15,350.0,142,2024-01-23 09:39,315.0,158,332.5,282.62,382.37,2024-02-29 10:08,282.62,SL,-14682.5,-14.761,44
ANGELONE,2024-04-17,2024-04-16,288.9,2024-04-18,2024-04-18 11:27,288.9,173,2024-05-07 12:22,260.01,192,274.45,233.29,315.62,2024-06-04 11:51,233.29,SL,-14751.96,-14.766,47
ANGELONE,2024-07-15,2024-07-15,229.4,2024-07-16,2024-07-16 09:15,229.4,217,2024-07-22 14:06,206.46,242,217.93,185.24,250.62,2024-08-20 10:39,250.62,TP,15291.23,15.331,35
ANGELONE,2024-10-14,2024-10-14,283.0,2024-10-15,2024-10-25 09:31,283.0,176,,0.0,0,283.0,240.55,325.45,2024-12-06 11:00,325.45,TP,7471.2,15.0,42
ANGELONE,2025-01-13,2025-01-13,255.55,2025-01-14,2025-01-14 09:15,237.0,210,2025-02-28 11:48,213.3,234,225.15,191.38,258.92,2025-05-15 09:20,258.92,TP,15279.39,15.328,121
ANGELONE,2025-04-16,2025-04-16,237.2,2025-04-17,2025-04-17 09:15,220.1,227,,0.0,0,220.1,187.08,253.11,2025-04-22 09:33,253.11,TP,7494.4,15.0,5
ANGELONE,2025-07-16,2025-07-16,273.2,2025-07-17,2025-07-17 09:15,273.2,183,2025-08-25 11:13,245.88,203,259.54,220.61,298.47,2025-08-29 09:36,220.61,SL,-14754.17,-14.768,43
ANGELONE,2025-10-15,2025-10-15,246.05,2025-10-16,2025-10-16 09:15,244.0,204,,0.0,0,244.0,207.4,280.6,2025-11-17 09:37,280.6,TP,7466.4,15.0,32
ANGELONE,2026-01-15,2026-01-14,253.2,2026-01-16,2026-01-21 10:49,253.2,197,2026-02-01 12:28,227.88,219,240.54,204.46,276.62,2026-02-10 09:42,276.62,TP,15288.22,15.321,20
ANGELONE,2026-04-16,2026-04-16,301.5,2026-04-17,2026-04-17 09:15,301.5,165,,0.0,0,301.5,256.27,346.72,2026-05-25 09:36,346.72,TP,7462.12,15.0,38
CGCL,2023-01-28,2023-01-27,762.8,2023-01-30,2023-01-30 09:07,752.85,66,2023-02-28 14:30,677.57,73,715.21,607.93,822.49,2023-03-21 09:15,583.05,SL,-18106.4,-18.262,50
