date,part,side,strike,leg_id,entry_kind,entry_time,entry_cost,sl_level,target_level,exit_time,exit_price,exit_reason,pnl_points,pnl_inr,dte
2023-05-16,P1,CE,62900.0,2023-05-16_P1_CE_62900,INITIAL,2023-05-16 09:45:00+05:30,52.8,66.0,5.28,2023-05-16 15:28:00+05:30,20.05,EOD,32.75,655.0,3
2023-05-16,P1,PE,61600.0,2023-05-16_P1_PE_61600,INITIAL,2023-05-16 09:45:00+05:30,67.2,84.0,6.720000000000001,2023-05-16 15:11:00+05:30,74.55,EOD_LAST_AVAILABLE,-7.349999999999994,-146.9999999999999,3
2023-05-16,P2,CE,62300.0,2023-05-16_P2_CE_62300,INITIAL,2023-05-16 12:34:00+05:30,200.5,250.625,20.05,2023-05-16 15:28:00+05:30,101.65,EOD,98.85,1977.0,3
2023-05-17,P1,CE,62500.0,2023-05-17_P1_CE_62500,INITIAL,2023-05-17 09:45:00+05:30,35.8,44.75,3.58,2023-05-17 15:28:00+05:30,13.45,EOD,22.349999999999998,446.99999999999994,2
2023-05-17,P1,PE,61300.0,2023-05-17_P1_PE_61300,INITIAL,2023-05-17 09:45:00+05:30,41.65,52.0625,4.165,2023-05-17 11:43:00+05:30,52.0625,SL,-10.412500000000001,-208.25000000000003,2
2023-05-18,P1,CE,62400.0,2023-05-18_P1_CE_62400,INITIAL,2023-05-18 09:45:00+05:30,19.0,23.75,1.9000000000000001,2023-05-18 15:28:00+05:30,2.1,EOD,16.9,338.0,1
2023-05-18,P1,PE,61300.0,2023-05-18_P1_PE_61300,INITIAL,2023-05-18 09:45:00+05:30,14.75,18.4375,1.475,2023-05-18 09:54:00+05:30,18.4375,SL,-3.6875,-73.75,1
2023-05-18,P2,PE,61800.0,2023-05-18_P2_PE_61800,INITIAL,2023-05-18 11:53:00+05:30,101.05,126.3125,10.105,2023-05-18 12:09:00+05:30,126.3125,SL,-25.262500000000003,-505.25000000000006,1
2023-05-18,P2,CE,61800.0,2023-05-18_P2_CE_61800,INITIAL,2023-05-18 12:22:00+05:30,80.0,100.0,8.0,2023-05-18 15:28:00+05:30,65.0,EOD,15.0,300.0,1
2023-05-23,P1,PE,61600.0,2023-05-23_P1_PE_61600,INITIAL,2023-05-23 09:45:00+05:30,75.0,93.75,7.5,2023-05-23 15:24:00+05:30,93.75,SL,-18.75,-375.0,3
