symbol,company_name,market_cap_cr,as_of_qtr
RELIANCE,Reliance Industries Ltd,1818628,202603
HDFCBANK,HDFC Bank Ltd,1126487,202603
BHARTIARTL,Bharti Airtel Ltd,1087193,202603
SBIN,State Bank of India,904416,202603
ICICIBANK,ICICI Bank Ltd,862937,202603
TCS,Tata Consultancy Services Ltd,853525,202603
INFY,Infosys Ltd,507436,202603
BAJFINANCE,Bajaj Finance Ltd,498670,202603
HINDUNILVR,Hindustan Unilever Ltd,483029,202603
LT,Larsen & Toubro Ltd,482063,202603
LICI,Life Insurance Corporation of India,458847,202603
SUNPHARMA,Sun Pharmaceutical Industries Ltd,421647,202603
MARUTI,Maruti Suzuki India Ltd,386677,202603
M&M,Mahindra & Mahindra Ltd,367606,202603
HCLTECH,HCL Technologies Ltd,363943,202603
AXISBANK,Axis Bank Ltd,361154,202603
ITC,ITC Ltd,360473,202603
NTPC,NTPC Ltd,359698,202603
ONGC,Oil & Natural Gas Corpn Ltd,358035,202603
KOTAKBANK,Kotak Mahindra Bank Ltd,351309,202603
TITAN,Titan Company Ltd,350862,202603
ULTRACEMCO,UltraTech Cement Ltd,316631,202603
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,302602,202603
BEL,Bharat Electronics Ltd,292830,202603
ADANIPOWER,Adani Power Ltd,290235,202603
COALINDIA,Coal India Ltd,277477,202603
POWERGRID,Power Grid Corporation of India Ltd,275484,202603
JSWSTEEL,JSW Steel Ltd,274563,202603
BAJAJFINSV,Bajaj Finserv Ltd,261146,202603
DMART,Avenue Supermarts Ltd,258257,202603
VEDL,Vedanta Ltd,256072,202603
BAJAJ-AUTO,Bajaj Auto Ltd,245305,202603
TATASTEEL,Tata Steel Ltd,239434,202603
HAL,Hindustan Aeronautics Ltd,233165,202603
ADANIENT,Adani Enterprises Ltd,227283,202603
NESTLEIND,Nestle India Ltd,226538,202603
ETERNAL,Eternal Ltd,221041,202603
HINDZINC,Hindustan Zinc Ltd,212196,202603
ASIANPAINT,Asian Paints Ltd,207618,202603
HINDALCO,Hindalco Industries Ltd,198778,202603
WIPRO,Wipro Ltd,196710,202603
IOC,Indian Oil Corporation Ltd,191343,202603
EICHERMOT,Eicher Motors Ltd,180632,202603
SBILIFE,SBI Life Insurance Company Ltd,178301,202603
GRASIM,Grasim Industries Ltd,173897,202603
SHRIRAMFIN,Shriram Finance Ltd,164091,202603
TVSMOTOR,TVS Motor Company Ltd,159905,202603
DIVISLAB,Divis Laboratories Ltd,157862,202603
INDIGO,Interglobe Aviation Ltd,152470,202603
TMCV,Tata Motors Ltd,145305,202603
HYUNDAI,Hyundai Motor India Ltd,144474,202603
TORNTPHARM,Torrent Pharmaceuticals Ltd,142846,202603
JIOFIN,Jio Financial Services Ltd,142406,202603
ICICIAMC,ICICI Prudential Asset Management Co Ltd,138560,202603
TECHM,Tech Mahindra Ltd,135875,202603
ADANIGREEN,Adani Green Energy Ltd,132894,202603
PIDILITIND,Pidilite Industries Ltd,130859,202603
BRITANNIA,Britannia Industries Ltd,130705,202603
VBL,Varun Beverages Ltd,129889,202603
TATACAP,Tata Capital Ltd,129660,202603
BANKBARODA,Bank of Baroda,127965,202603
HDFCLIFE,HDFC Life Insurance Company Ltd,127355,202603
MUTHOOTFIN,Muthoot Finance Ltd,126846,202603
ABB,ABB India Ltd,125799,202603
UNIONBANK,Union Bank of India,125306,202603
PFC,Power Finance Corporation Ltd,125288,202603
CUMMINSIND,Cummins India Ltd,124750,202603
DLF,DLF Ltd,124681,202603
BPCL,Bharat Petroleum Corporation Ltd,121934,202603
TATAPOWER,Tata Power Company Ltd,121008,202603
LTM,LTM Ltd,119055,202603
TRENT,Trent Ltd,117121,202603
PNB,Punjab National Bank,115573,202603
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,115353,202603
IRFC,Indian Railway Finance Corporation Ltd,114023,202603
INDIANB,Indian Bank,113946,202603
JINDALSTEL,Jindal Steel Ltd,113495,202603
ADANIENSOL,Adani Energy Solutions Ltd,112224,202603
CANBK,Canara Bank,111977,202603
MOTHERSON,Samvardhana Motherson International Ltd,110927,202603
INDUSTOWER,Indus Towers Ltd,110262,202603
BSE,BSE Ltd,109299,202603
SOLARINDS,Solar Industries India Ltd,109227,202603
TMPV,Tata Motors Passenger Vehicles Ltd,109090,202603
POWERINDIA,Hitachi Energy India Ltd,107924,202603
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,106809,202603
LUPIN,Lupin Ltd,105732,202603
DRREDDY,Dr Reddys Laboratories Ltd,104720,202603
SIEMENS,Siemens Ltd,104473,202603
CGPOWER,CG Power & Industrial Solutions Ltd,103252,202603
POLYCAB,Polycab India Ltd,102994,202603
HEROMOTOCO,Hero MotoCorp Ltd,101252,202603
GODREJCP,Godrej Consumer Products Ltd,100759,202603
TATACONSUM,Tata Consumer Products Ltd,100386,202603
AMBUJACEM,Ambuja Cements Ltd,99095,202603
CIPLA,Cipla Ltd,98796,202603
LGEINDIA,LG Electronics India Ltd,97835,202603
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,97312,202603
MARICO,Marico Ltd,95576,202603
HDFCAMC,HDFC Asset Management Company Ltd,94966,202603
GROWW,Billionbrains Garage Ventures Ltd,94167,202603
MAXHEALTH,Max Healthcare Institute Ltd,93582,202603
GVT&D,GE Vernova T&D India Ltd,93233,202603
IDEA,Vodafone Idea Ltd,92417,202603
ENRIN,Siemens Energy India Ltd,91511,202603
ASHOKLEY,Ashok Leyland Ltd,90545,202603
GAIL,GAIL (India) Ltd,90539,202603
GMRAIRPORT,GMR Airports Ltd,89435,202603
WAAREEENER,Waaree Energies Ltd,89379,202603
UNITDSPR,United Spirits Ltd,88668,202603
ZYDUSLIFE,Zydus Lifesciences Ltd,87663,202603
LENSKART,Lenskart Solutions Ltd,86925,202603
BHEL,Bharat Heavy Electricals Ltd,85502,202603
ICICIGI,ICICI Lombard General Insurance Company Ltd,85265,202603
BOSCHLTD,Bosch Ltd,84744,202603
MAZDOCK,Mazagon Dock Shipbuilders Ltd,83264,202603
SHREECEM,Shree Cement Ltd,83058,202603
JSWENERGY,JSW Energy Ltd,83006,202603
MANKIND,Mankind Pharma Ltd,82807,202603
INDHOTEL,Indian Hotels Co Ltd,81242,202603
RECLTD,REC Ltd,80353,202603
BHARATFORG,Bharat Forge Ltd,80130,202603
