symbol,company_name,market_cap_cr
RELIANCE,Reliance Industries Ltd,1818628
HDFCBANK,HDFC Bank Ltd,1126487
BHARTIARTL,Bharti Airtel Ltd,1087193
SBIN,State Bank of India,904416
ICICIBANK,ICICI Bank Ltd,862937
TCS,Tata Consultancy Services Ltd,853525
INFY,Infosys Ltd,507436
BAJFINANCE,Bajaj Finance Ltd,498670
HINDUNILVR,Hindustan Unilever Ltd,483029
LT,Larsen & Toubro Ltd,482063
LICI,Life Insurance Corporation of India,458847
SUNPHARMA,Sun Pharmaceutical Industries Ltd,421647
MARUTI,Maruti Suzuki India Ltd,386677
M&M,Mahindra & Mahindra Ltd,367606
HCLTECH,HCL Technologies Ltd,363943
AXISBANK,Axis Bank Ltd,361154
ITC,ITC Ltd,360473
NTPC,NTPC Ltd,359698
ONGC,Oil & Natural Gas Corpn Ltd,358035
KOTAKBANK,Kotak Mahindra Bank Ltd,351309
TITAN,Titan Company Ltd,350862
ULTRACEMCO,UltraTech Cement Ltd,316631
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,302602
BEL,Bharat Electronics Ltd,292830
ADANIPOWER,Adani Power Ltd,290235
COALINDIA,Coal India Ltd,277477
POWERGRID,Power Grid Corporation of India Ltd,275484
JSWSTEEL,JSW Steel Ltd,274563
BAJAJFINSV,Bajaj Finserv Ltd,261146
DMART,Avenue Supermarts Ltd,258257
VEDL,Vedanta Ltd,256072
BAJAJ-AUTO,Bajaj Auto Ltd,245305
TATASTEEL,Tata Steel Ltd,239434
HAL,Hindustan Aeronautics Ltd,233165
ADANIENT,Adani Enterprises Ltd,227283
NESTLEIND,Nestle India Ltd,226538
ETERNAL,Eternal Ltd,221041
HINDZINC,Hindustan Zinc Ltd,212196
ASIANPAINT,Asian Paints Ltd,207618
HINDALCO,Hindalco Industries Ltd,198778
WIPRO,Wipro Ltd,196710
IOC,Indian Oil Corporation Ltd,191343
EICHERMOT,Eicher Motors Ltd,180632
SBILIFE,SBI Life Insurance Company Ltd,178301
GRASIM,Grasim Industries Ltd,173897
SHRIRAMFIN,Shriram Finance Ltd,164091
TVSMOTOR,TVS Motor Company Ltd,159905
DIVISLAB,Divis Laboratories Ltd,157862
