second_entry_pct,sl_pct,trail_pct,tp_pct,tp_pct_after_second,max_hold_days,q4_ret,q3_ret,q4_pnl,q3_pnl,q4_n,q3_n,worst_trade_pct,score_worse,sum_ret
-10.0,,,10,,,6.76,7.59,62200,59544,15,10,-6.2,6.76,14.34
-20.0,,,20,,,8.42,6.63,60881,48911,15,10,-28.7,6.63,15.05
-15.0,,,10,,,6.36,7.94,49167,58253,15,10,-6.2,6.36,14.3
-20.0,,,15,,,8.32,6.18,60173,45623,15,10,-28.7,6.18,14.51
-15.0,,,20,,,8.96,5.87,69241,45965,15,10,-31.1,5.87,14.83
-20.0,,,10,,,5.64,9.62,40807,66230,15,10,-6.2,5.64,15.27
-10.0,,,20,,,9.27,5.64,85309,47055,15,10,-33.1,5.64,14.91
,,,20,,,8.42,5.42,60881,26482,15,10,-36.7,5.42,13.84
,,,10,,,5.64,5.42,40807,26503,15,10,-8.2,5.42,11.06
-5.0,,,20,,,7.72,5.03,81460,43978,15,10,-35.0,5.03,12.75
10.0,,,20,,,6.87,4.96,83390,40815,15,10,-40.3,4.96,11.83
-20.0,,,10,0.0,,5.64,4.82,40807,33155,15,10,-6.2,4.82,10.46
-5.0,,,10,,,5.19,4.63,54784,35917,15,10,-5.8,4.63,9.82
-20.0,,,10,,75.0,5.64,4.55,40807,31301,15,10,-12.4,4.55,10.19
-15.0,,,10,,75.0,6.36,4.15,49167,30460,15,10,-15.3,4.15,10.51
-15.0,,,10,0.0,,5.33,3.89,41149,28521,15,10,-6.2,3.89,9.21
-15.0,,,15,,,8.87,3.72,68533,29102,15,10,-31.1,3.72,12.59
10.0,,,15,,,6.58,3.69,79906,30333,15,10,-40.3,3.69,10.27
-10.0,,,10,,75.0,6.76,3.35,62200,26273,15,10,-17.8,3.35,10.11
-5.0,,,10,0.0,60.0,3.34,3.25,35280,25205,15,10,-3.7,3.25,6.59
-5.0,,,10,0.0,75.0,3.34,3.25,35280,25205,15,10,-3.7,3.25,6.59
-5.0,,,10,0.0,,3.34,3.25,35280,25205,15,10,-3.7,3.25,6.59
-10.0,,,15,,,8.92,3.04,82112,25413,15,10,-33.1,3.04,11.97
,,,15,,,8.32,2.98,60173,14551,15,10,-36.7,2.98,11.3
-10.0,,,10,0.0,75.0,4.1,2.66,37714,20847,15,10,-6.2,2.66,6.75
-10.0,,,10,0.0,,4.1,2.64,37714,20714,15,10,-6.2,2.64,6.74
-20.0,,,10,,60.0,5.73,2.62,41401,16761,15,10,-17.5,2.62,8.35
10.0,,,10,0.0,,3.25,2.55,39458,20998,15,10,-8.2,2.55,5.8
