date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-12,NIFTY,2026-05-12,PE,23700,0,23757.55,23689.75,09:15,09:16,67.79999999999927,23757.55,23608.39,09:24,23684.2,73.05,09:25,23685.45,72.65,10:29,23609.5,106.75,TP,34.099999999999994,2216.4999999999995,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23619.8,23605.05,10:28,10:29,14.75,23619.8,23587.35,10:37,23604.6,46.95,10:38,23604.85,50.05,10:43,23627.85,37.4,SL,-12.649999999999999,-822.2499999999999,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23638.65,23624.85,10:43,10:44,13.80000000000291,23638.65,23608.289999999994,10:45,23622.5,40.75,10:46,23622.95,40.65,10:48,23615.3,42.25,TP,1.6000000000000014,104.00000000000009,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23615.5,23603.75,10:47,10:48,11.75,23615.5,23589.65,10:49,23603.25,46.05,10:50,23603.75,45.65,10:57,23614.5,40.2,SL,-5.449999999999996,-354.2499999999997,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23620.5,23610.85,10:58,10:59,9.650000000001455,23620.5,23599.269999999997,11:00,23607.05,44.05,11:01,23607.7,44.6,11:03,23592.2,51.55,TP,6.949999999999996,451.7499999999997,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23596.95,23586.15,11:04,11:05,10.799999999999272,23596.95,23573.190000000002,11:06,23583.65,54.4,11:07,23585.3,53.95,11:17,23596.2,47.45,SL,-6.5,-422.5,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23612.25,23602.45,11:18,11:19,9.799999999999272,23612.25,23590.690000000002,11:22,23598.4,46.4,11:23,23599.65,45.9,11:24,23599.2,46.7,TP,0.8000000000000043,52.00000000000028,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23605.55,23589.4,11:24,11:25,16.149999999997817,23605.55,23570.020000000004,11:29,23588.9,52.5,11:30,23589.5,52.15,11:42,23605.05,43.15,SL,-9.0,-585.0,65
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23607.65,23599.8,11:41,11:42,7.850000000002183,23607.65,23590.379999999997,11:45,23597.75,45.75,11:46,23598.75,46.5,11:49,23585.95,51.15,TP,4.649999999999999,302.2499999999999,65
2026-05-12,NIFTY,2026-05-12,CE,23600,0,23598.3,23584.35,11:48,11:49,13.950000000000728,23584.35,23615.04,11:52,23601.4,58.45,11:53,23602.1,57.25,12:03,23587.5,51.5,SL,-5.75,-373.75,65
